name,Total Positive cycles,RACIPE JSD1 from WT,RACIPE JSD2 from WT,Boolean JSD from WT,Plasticity1,Plasticity2
736759,6,0.13550924698714956,0.13550924698714956,0.08898686251172042,0.2934,0.4383
958142,7,0.7485273097489071,0.7485273097489071,1.0,0.1976,0.4093
474367,6,0.5022232842486039,0.5022232842486039,1.0,0.318,0.43899999999999995
519886,9,0.8226389259302385,0.8226389259302385,1.0,0.4366,0.5623
310271,7,0.30721076398922303,0.30721076398922303,0.3045005739728033,0.287,0.49660000000000004
517943,7,0.8068105470650933,0.8068105470650933,1.0,0.2672,0.4464
829246,8,0.7062252691240456,0.7062252691240456,1.0,0.246,0.5462
979768,7,0.7720538613658645,0.7720538613658645,1.0,0.3087,0.5072
850909,7,0.5419730538445191,0.5419730538445191,0.7118080017398196,0.1695,0.36760000000000004
686775,6,0.6994059959471053,0.6994059959471053,1.0,0.1005,0.31210000000000004
979391,7,0.7896246397213157,0.7896246397213157,1.0,0.2263,0.46819999999999995
97791,8,0.17195058989424186,0.17195058989424186,2.8990258734226757e-05,0.3767,0.48329999999999995
290495,5,0.5892850145194757,0.5892850145194757,1.0,0.1536,0.37470000000000003
196381,6,0.743471186085668,0.743471186085668,1.0,0.2272,0.46930000000000005
976502,11,0.8431999114984148,0.8431999114984148,1.0,0.6367,0.7269
130301,6,0.5669836115523874,0.5669836115523874,0.7384149418778823,0.2741,0.3881
867807,4,0.29196342082524185,0.29196342082524185,1.0,0.0858,0.2107
1027557,4,0.5788854582142455,0.5788854582142455,1.0,0.0711,0.1995
355839,4,0.6044298938968472,0.6044298938968472,1.0,0.1549,0.33499999999999996
