ParameterIndex,X,SNAIL,miR34,miR200,ZEB,KEAP1,Ecadherin,NRF2,Weight
1210,-1,1,-1,-1,1,1,-1,-1,0.5
1211,-1,1,1,1,-1,1,1,-1,0.5
1212,1,1,-1,-1,1,1,-1,1,0.5
1215,1,1,-1,-1,-1,1,1,-1,0.5
1216,-1,1,1,-1,-1,1,1,-1,0.5
1218,-1,1,1,1,-1,-1,1,-1,0.5
1220,1,1,-1,1,-1,1,1,1,0.5
1222,1,1,-1,-1,1,1,-1,1,0.5
1223,-1,1,-1,-1,1,1,-1,1,0.5
1224,1,-1,1,1,-1,-1,1,1,0.5
1225,-1,1,1,-1,-1,1,1,-1,0.5
1230,-1,-1,1,1,-1,-1,1,1,0.5
1231,1,1,-1,-1,1,1,-1,1,0.5
1233,1,1,-1,-1,1,1,-1,-1,0.5
1234,-1,-1,1,1,-1,-1,1,1,0.5
1235,-1,-1,1,1,-1,-1,1,1,0.5
1238,1,-1,1,1,-1,-1,1,1,0.5
1243,-1,1,-1,-1,1,1,-1,-1,0.5
1244,1,1,-1,-1,1,1,-1,-1,0.5
1248,-1,-1,-1,1,-1,-1,1,1,0.5
1249,-1,-1,-1,-1,1,1,-1,1,0.5
1251,-1,1,-1,-1,1,1,-1,-1,0.5
1252,-1,1,1,-1,1,1,-1,-1,0.5
1254,1,1,-1,-1,1,1,-1,-1,0.5
1256,1,-1,-1,-1,1,1,-1,1,0.5
1257,1,-1,1,1,-1,-1,1,-1,0.5
1258,1,1,-1,-1,1,1,-1,1,0.5
1259,-1,1,1,1,-1,-1,1,1,0.5
1261,-1,-1,1,1,-1,-1,1,-1,0.5
1262,-1,1,-1,-1,1,1,-1,1,0.5
1265,1,1,-1,-1,1,1,-1,1,0.5
1267,-1,1,-1,-1,1,1,-1,-1,0.5
1268,1,-1,1,1,-1,-1,1,1,0.5
1270,1,1,1,1,-1,-1,1,-1,0.5
1276,1,-1,1,1,-1,-1,1,-1,0.5
1278,1,-1,-1,-1,1,1,-1,1,0.5
1280,1,1,1,-1,-1,1,1,-1,0.5
1281,1,1,-1,-1,1,1,-1,1,0.5
1282,1,1,-1,-1,1,1,-1,-1,0.5
1283,-1,-1,1,1,-1,-1,1,-1,0.5
1291,1,1,-1,-1,1,1,-1,-1,0.5
1292,-1,-1,1,1,-1,-1,1,1,0.5
1293,-1,1,-1,-1,1,1,-1,-1,0.5
1295,-1,1,-1,-1,1,1,-1,-1,0.5
1296,1,1,-1,-1,1,1,-1,-1,0.5
1298,-1,1,-1,-1,1,1,-1,1,0.5
1300,-1,-1,1,1,-1,1,1,-1,0.5
1301,-1,-1,-1,1,1,-1,-1,1,0.5
1302,1,1,-1,1,-1,1,1,1,0.5
1304,-1,1,-1,-1,1,1,-1,-1,0.5
1305,-1,1,-1,1,1,1,-1,-1,0.5
1308,-1,-1,1,1,-1,-1,1,1,0.5
1309,1,1,-1,-1,1,1,-1,1,0.5
1311,1,1,-1,-1,1,1,-1,1,0.5
1313,-1,1,-1,1,-1,-1,1,-1,0.5
1316,-1,-1,1,1,-1,-1,1,1,0.5
1318,-1,-1,1,1,-1,-1,1,1,0.5
1319,-1,1,-1,1,1,-1,-1,1,0.5
1321,1,-1,-1,-1,1,1,-1,1,0.5
1324,-1,1,-1,1,1,-1,-1,1,0.5
1328,-1,-1,1,1,-1,-1,1,-1,0.5
1329,-1,1,-1,-1,1,1,-1,1,0.5
1330,1,1,-1,-1,1,1,-1,-1,0.5
1334,-1,1,-1,-1,1,1,-1,1,0.5
1338,1,-1,1,1,-1,-1,1,-1,0.5
1341,1,-1,1,1,-1,-1,1,1,0.5
1342,1,-1,1,-1,1,1,1,1,0.5
1343,1,-1,-1,-1,1,1,-1,1,0.5
1344,1,1,-1,-1,1,1,-1,-1,0.5
1345,-1,-1,1,1,-1,-1,1,1,0.5
1347,-1,1,-1,-1,1,1,-1,-1,0.5
1348,1,-1,1,1,-1,1,1,-1,0.5
1349,-1,-1,1,1,-1,-1,1,1,0.5
1350,1,1,-1,-1,1,1,-1,-1,0.5
1351,-1,1,-1,-1,1,1,-1,-1,0.5
1358,1,1,1,-1,-1,1,1,-1,0.5
1360,1,-1,1,1,-1,-1,1,1,0.5
1361,1,-1,-1,-1,1,-1,-1,1,0.5
1362,-1,1,1,1,-1,-1,1,1,0.5
1364,1,1,-1,-1,1,1,-1,-1,0.5
1365,-1,-1,1,1,-1,-1,1,-1,0.5
1366,-1,1,-1,-1,1,1,-1,-1,0.5
1368,-1,1,-1,-1,1,1,-1,-1,0.5
1372,1,-1,1,1,-1,-1,1,1,0.5
1376,1,1,-1,-1,1,1,-1,1,0.5
1377,1,1,-1,-1,1,1,-1,1,0.5
1378,1,1,-1,1,-1,-1,1,1,0.5
1379,1,1,-1,-1,1,1,-1,-1,0.5
1380,1,1,-1,-1,1,1,-1,-1,0.5
1383,1,1,-1,-1,1,1,-1,-1,0.5
1384,1,1,1,1,-1,-1,1,-1,0.5
1386,-1,-1,1,1,1,1,-1,-1,0.5
1388,1,1,-1,-1,1,-1,-1,1,0.5
1389,-1,1,-1,-1,1,1,-1,1,0.5
1391,1,1,-1,-1,1,1,-1,1,0.5
1392,-1,-1,1,1,-1,-1,1,1,0.5
1398,-1,1,-1,-1,1,-1,-1,1,0.5
1400,1,1,-1,-1,1,1,-1,-1,0.5
1403,-1,1,-1,-1,1,1,-1,-1,0.5
1405,-1,1,-1,-1,1,1,-1,1,0.5
1409,1,1,-1,-1,1,1,-1,-1,0.5
1412,1,-1,1,1,-1,1,1,1,0.5
1413,-1,1,1,1,-1,-1,1,-1,0.5
1414,1,-1,-1,-1,1,1,-1,-1,0.5
1417,-1,1,-1,-1,1,1,-1,-1,0.5
1418,-1,1,-1,-1,1,1,-1,1,0.5
1422,1,-1,1,1,-1,1,1,1,0.5
1423,1,1,-1,-1,1,1,-1,-1,0.5
1424,1,-1,1,1,-1,-1,1,-1,0.5
1426,1,1,1,1,-1,1,1,-1,0.5
1428,-1,1,-1,-1,-1,1,1,-1,0.5
1431,1,1,-1,-1,1,1,-1,-1,0.5
1434,-1,1,-1,1,-1,-1,1,-1,0.5
1435,-1,1,-1,-1,1,1,-1,1,0.5
1437,-1,-1,1,1,-1,-1,1,-1,0.5
1441,1,-1,1,1,-1,-1,1,1,0.5
1443,-1,1,-1,1,1,1,1,1,0.5
1449,1,-1,1,1,-1,1,1,1,0.5
1450,1,-1,1,1,-1,-1,1,1,0.5
1451,1,1,-1,-1,1,1,-1,1,0.5
1452,-1,1,-1,-1,1,1,-1,1,0.5
1454,-1,-1,-1,-1,1,1,-1,-1,0.5
1456,-1,1,1,1,-1,1,1,-1,0.5
1457,-1,1,-1,-1,1,1,-1,1,0.5
1458,1,-1,1,1,1,-1,1,-1,0.5
1460,-1,1,-1,1,1,1,-1,1,0.5
1463,-1,1,-1,-1,1,1,-1,-1,0.5
1465,1,1,-1,-1,1,1,-1,1,0.5
1467,1,-1,1,1,-1,-1,1,-1,0.5
1468,1,1,1,1,-1,1,1,-1,0.5
1470,1,1,-1,1,-1,-1,1,-1,0.5
1472,1,-1,1,1,-1,-1,1,1,0.5
1476,1,-1,-1,1,-1,1,1,1,0.5
1480,1,1,-1,-1,1,1,-1,1,0.5
1481,-1,1,-1,-1,1,1,-1,-1,0.5
1483,-1,-1,1,1,-1,-1,1,1,0.5
1484,-1,-1,1,1,-1,-1,1,1,0.5
1486,-1,1,-1,-1,1,1,-1,-1,0.5
1493,-1,-1,1,1,-1,-1,1,-1,0.5
1494,-1,-1,1,1,-1,-1,1,1,0.5
1497,1,1,-1,-1,1,1,1,-1,0.5
1498,1,1,-1,-1,1,1,-1,-1,0.5
1502,1,1,-1,-1,1,1,-1,1,0.5
1503,-1,1,-1,-1,1,1,-1,1,0.5
1505,-1,1,-1,-1,1,1,-1,-1,0.5
1506,1,1,-1,-1,1,1,-1,1,0.5
1507,-1,1,-1,-1,1,1,-1,1,0.5
1508,1,-1,-1,-1,1,1,-1,1,0.5
1509,-1,1,-1,1,-1,1,1,-1,0.5
1511,1,1,-1,-1,1,1,-1,-1,0.5
1512,1,1,1,1,-1,-1,1,-1,0.5
1514,-1,-1,1,1,-1,-1,1,1,0.5
1515,1,1,-1,1,-1,-1,1,-1,0.5
1516,-1,-1,1,1,-1,-1,1,1,0.5
1518,1,-1,1,1,-1,-1,1,-1,0.5
1519,-1,-1,1,1,-1,-1,1,-1,0.5
1520,1,1,-1,-1,1,1,-1,-1,0.5
1521,-1,1,-1,1,-1,-1,1,-1,0.5
1523,1,1,1,1,-1,-1,1,-1,0.5
1524,-1,1,-1,-1,1,1,-1,-1,0.5
1525,1,1,1,1,-1,-1,1,-1,0.5
1527,1,1,1,1,-1,1,1,-1,0.5
1530,-1,1,-1,1,1,1,-1,-1,0.5
1534,1,1,-1,-1,1,1,-1,-1,0.5
1538,1,1,-1,-1,1,1,-1,1,0.5
1539,-1,-1,1,1,-1,-1,1,-1,0.5
1541,-1,1,-1,-1,1,1,-1,1,0.5
1543,-1,-1,-1,-1,1,1,-1,1,0.5
1544,-1,1,-1,-1,1,1,-1,-1,0.5
1545,1,-1,1,1,-1,1,1,-1,0.5
1546,-1,-1,1,1,-1,1,1,1,0.5
1549,-1,-1,1,1,-1,1,1,1,0.5
1552,1,1,1,1,-1,1,1,1,0.5
1554,1,1,-1,-1,-1,1,1,-1,0.5
1555,-1,1,-1,-1,1,1,-1,-1,0.5
1557,-1,-1,1,1,-1,1,1,-1,0.5
1559,1,1,-1,1,-1,1,1,-1,0.5
1560,1,1,-1,-1,1,1,-1,-1,0.5
1563,1,-1,-1,-1,1,1,-1,1,0.5
1565,1,1,-1,-1,1,1,-1,1,0.5
1569,-1,1,1,1,-1,-1,1,-1,0.5
1572,1,1,-1,-1,1,1,-1,-1,0.5
1574,1,1,-1,-1,1,1,-1,1,0.5
1576,-1,-1,1,1,-1,-1,1,1,0.5
1577,-1,1,-1,-1,1,1,-1,-1,0.5
1578,-1,1,-1,-1,1,1,-1,-1,0.5
1580,1,-1,1,1,-1,-1,1,1,0.5
1581,-1,1,-1,1,-1,-1,-1,1,0.5
1582,-1,-1,-1,-1,1,1,-1,1,0.5
1584,-1,-1,1,1,-1,-1,1,-1,0.5
1585,-1,-1,1,1,-1,-1,1,1,0.5
1586,1,-1,1,1,1,-1,1,1,0.5
1587,-1,1,-1,-1,1,1,-1,1,0.5
1590,-1,1,-1,-1,1,1,-1,1,0.5
1592,-1,1,-1,-1,1,1,-1,-1,0.5
1594,1,-1,1,1,-1,-1,1,1,0.5
1595,1,1,1,1,-1,-1,1,1,0.5
1596,-1,1,-1,-1,1,1,-1,1,0.5
1600,-1,1,-1,-1,1,1,-1,1,0.5
1602,1,1,-1,-1,1,1,-1,1,0.5
1605,-1,1,-1,-1,1,1,-1,1,0.5
1606,-1,-1,1,1,-1,-1,1,1,0.5
1608,1,1,1,-1,1,1,-1,-1,0.5
1610,1,1,-1,-1,1,1,-1,-1,0.5
1611,-1,1,-1,-1,1,1,-1,1,0.5
1612,-1,-1,1,1,-1,-1,1,-1,0.5
1618,1,1,-1,-1,1,1,-1,-1,0.5
1620,-1,1,-1,-1,1,1,-1,-1,0.5
1621,-1,1,-1,-1,1,1,-1,1,0.5
1623,-1,1,-1,-1,-1,1,1,-1,0.5
1625,-1,1,-1,1,-1,1,1,-1,0.5
1626,1,-1,1,1,-1,-1,1,1,0.5
1629,1,-1,1,1,-1,1,1,-1,0.5
1631,-1,-1,-1,-1,1,1,-1,1,0.5
1632,-1,-1,1,1,-1,1,1,1,0.5
1634,-1,1,-1,-1,1,1,-1,1,0.5
1635,1,1,-1,-1,1,1,-1,-1,0.5
1636,-1,1,-1,-1,1,1,-1,-1,0.5
1637,1,-1,1,1,-1,-1,1,1,0.5
1640,1,1,-1,-1,1,1,-1,-1,0.5
1644,1,1,-1,-1,1,1,-1,1,0.5
1646,1,-1,-1,-1,1,1,-1,1,0.5
1647,1,-1,1,1,-1,-1,1,1,0.5
1648,-1,-1,1,-1,1,1,-1,1,0.5
1650,1,-1,1,1,-1,1,1,-1,0.5
1651,1,-1,1,1,-1,-1,1,1,0.5
1652,-1,1,-1,-1,1,1,1,-1,0.5
1657,1,1,-1,-1,1,1,-1,-1,0.5
1658,-1,1,1,1,-1,-1,1,1,0.5
1659,-1,-1,-1,-1,1,1,-1,1,0.5
1660,-1,-1,1,1,-1,-1,1,1,0.5
1661,1,1,-1,-1,1,1,-1,-1,0.5
1662,-1,-1,1,1,-1,-1,1,1,0.5
1665,1,1,1,-1,-1,-1,1,-1,0.5
1667,1,1,-1,1,-1,-1,1,-1,0.5
1669,1,-1,1,1,-1,-1,1,1,0.5
1670,1,1,-1,-1,1,1,-1,1,0.5
1671,1,-1,1,-1,1,1,-1,1,0.5
1674,-1,1,1,1,-1,-1,1,-1,0.5
1676,-1,1,-1,1,-1,1,1,-1,0.5
1678,1,-1,1,1,-1,-1,1,-1,0.5
1680,1,1,1,-1,-1,1,1,-1,0.5
1681,-1,1,-1,-1,1,1,-1,1,0.5
1683,1,1,-1,1,-1,1,1,-1,0.5
1684,1,-1,-1,-1,1,1,-1,-1,0.5
1685,-1,-1,1,1,-1,-1,1,1,0.5
1686,-1,1,1,1,-1,-1,1,-1,0.5
1687,1,1,-1,-1,1,1,-1,1,0.5
1689,-1,-1,-1,-1,1,1,-1,-1,0.5
1690,-1,1,-1,-1,1,1,-1,-1,0.5
1691,1,1,-1,-1,1,1,-1,-1,0.5
1693,-1,-1,1,1,-1,-1,1,-1,0.5
1696,-1,-1,1,1,-1,-1,1,1,0.5
1697,1,-1,1,1,-1,-1,1,1,0.5
1698,1,-1,-1,-1,1,1,1,-1,0.5
1699,-1,1,-1,-1,1,1,-1,1,0.5
1700,-1,1,-1,-1,1,1,-1,1,0.5
1703,1,-1,1,1,-1,-1,1,1,0.5
1704,-1,-1,1,1,-1,1,1,-1,0.5
1707,-1,-1,1,1,-1,-1,1,1,0.5
1708,-1,1,-1,-1,1,1,-1,1,0.5
1710,1,-1,1,-1,1,1,-1,1,0.5
1712,-1,1,1,1,-1,-1,1,-1,0.5
1715,-1,1,1,-1,1,1,-1,1,0.5
1716,-1,1,-1,1,-1,1,1,-1,0.5
1717,-1,1,-1,-1,1,1,-1,-1,0.5
1718,-1,1,-1,-1,1,1,-1,1,0.5
1719,1,1,1,1,-1,-1,1,-1,0.5
1722,1,1,1,1,-1,-1,1,-1,0.5
1724,1,-1,1,1,-1,1,1,-1,0.5
1727,-1,-1,1,1,-1,1,1,-1,0.5
1728,1,1,-1,1,-1,-1,1,-1,0.5
1731,1,1,-1,-1,1,1,-1,-1,0.5
1734,1,-1,1,1,-1,-1,1,1,0.5
1735,1,1,-1,-1,1,1,-1,-1,0.5
1736,1,1,-1,-1,1,1,-1,1,0.5
1737,1,-1,1,1,-1,-1,1,-1,0.5
1739,1,-1,1,1,-1,-1,1,-1,0.5
1740,-1,1,-1,1,1,-1,-1,1,0.5
1742,-1,-1,1,1,-1,-1,1,-1,0.5
1744,1,1,-1,-1,1,1,-1,-1,0.5
1746,-1,1,-1,-1,1,1,-1,-1,0.5
1747,1,-1,-1,-1,1,1,-1,1,0.5
1754,1,1,1,1,-1,1,1,-1,0.5
1755,1,-1,1,1,1,-1,1,1,0.5
1757,1,1,1,-1,-1,1,1,-1,0.5
1758,1,1,-1,-1,1,1,-1,-1,0.5
1760,1,1,-1,-1,1,1,-1,-1,0.5
1763,1,1,-1,-1,-1,-1,1,1,0.5
1765,-1,-1,1,1,-1,-1,1,1,0.5
1768,1,1,-1,-1,1,1,-1,1,0.5
1770,1,-1,-1,-1,1,1,-1,1,0.5
1771,-1,-1,1,1,-1,-1,1,-1,0.5
1773,-1,1,1,1,-1,-1,1,-1,0.5
1775,1,1,-1,-1,1,1,-1,1,0.5
1776,1,1,-1,-1,1,1,-1,-1,0.5
1777,-1,1,-1,-1,1,1,-1,-1,0.5
1778,1,1,-1,-1,1,1,-1,-1,0.5
1780,-1,-1,-1,-1,1,1,-1,1,0.5
1782,1,-1,1,-1,1,1,-1,1,0.5
1784,-1,1,-1,-1,1,1,-1,1,0.5
1785,-1,1,-1,-1,1,1,-1,-1,0.5
1788,-1,1,-1,-1,1,1,-1,-1,0.5
1789,1,1,-1,-1,-1,1,1,-1,0.5
1791,1,1,-1,-1,1,1,-1,1,0.5
1794,-1,1,1,1,-1,-1,1,1,0.5
1798,1,1,-1,-1,1,1,-1,-1,0.5
1799,1,-1,1,1,-1,-1,1,1,0.5
1803,-1,1,-1,-1,-1,-1,1,-1,0.5
1806,1,1,-1,-1,1,1,1,-1,0.5
1807,1,-1,-1,-1,1,1,-1,1,0.5
1810,-1,1,1,1,-1,-1,1,-1,0.5
1813,1,1,1,1,-1,1,1,-1,0.5
1814,1,1,-1,-1,1,1,-1,1,0.5
1817,-1,-1,-1,-1,1,-1,-1,1,0.5
1818,-1,-1,1,1,-1,-1,1,-1,0.5
1819,-1,1,-1,-1,1,1,-1,-1,0.5
1820,1,-1,1,1,-1,1,1,-1,0.5
1822,1,-1,1,1,-1,-1,1,1,0.5
1825,1,-1,-1,-1,1,1,-1,1,0.5
1826,1,1,-1,-1,1,1,-1,-1,0.5
1827,-1,1,-1,-1,1,1,-1,1,0.5
1832,1,-1,-1,-1,1,1,-1,1,0.5
1833,1,1,1,1,-1,1,1,-1,0.5
1834,-1,1,-1,-1,1,1,-1,1,0.5
1835,1,1,-1,-1,-1,1,1,-1,0.5
1836,1,-1,1,1,-1,-1,1,1,0.5
1838,1,1,-1,-1,1,1,-1,-1,0.5
1839,1,1,1,1,-1,-1,1,1,0.5
1840,1,-1,1,1,-1,-1,1,1,0.5
1842,1,1,-1,-1,1,1,-1,-1,0.5
1843,-1,-1,1,1,-1,1,1,-1,0.5
1844,-1,-1,1,1,-1,-1,1,1,0.5
1846,-1,1,-1,-1,1,1,-1,-1,0.5
1848,-1,-1,1,1,-1,-1,1,-1,0.5
1849,1,1,-1,-1,1,1,-1,-1,0.5
1850,-1,-1,1,1,-1,-1,1,1,0.5
1852,-1,-1,1,1,-1,-1,1,1,0.5
1854,-1,1,-1,-1,1,1,-1,-1,0.5
1859,1,1,-1,-1,1,1,-1,-1,0.5
1862,-1,1,-1,-1,1,1,-1,-1,0.5
1865,1,1,-1,-1,1,1,-1,1,0.5
1870,-1,1,-1,-1,1,1,-1,1,0.5
1873,-1,-1,-1,-1,1,1,-1,1,0.5
1877,-1,1,1,1,1,1,-1,1,0.5
1878,-1,-1,1,1,-1,-1,1,1,0.5
1882,1,-1,1,1,-1,-1,1,1,0.5
1883,1,1,-1,-1,1,1,-1,-1,0.5
1884,1,-1,1,1,-1,1,1,1,0.5
1886,1,1,1,1,-1,-1,1,-1,0.5
1888,1,-1,1,1,-1,-1,1,1,0.5
1890,-1,1,-1,-1,1,1,-1,-1,0.5
1891,-1,-1,1,1,-1,-1,1,1,0.5
1893,-1,1,-1,-1,1,1,-1,1,0.5
1897,-1,1,-1,1,1,1,-1,1,0.5
1900,1,1,-1,-1,1,1,-1,1,0.5
1901,-1,-1,1,-1,1,1,-1,-1,0.5
1903,-1,-1,1,1,-1,-1,1,1,0.5
1904,1,-1,1,1,-1,-1,1,1,0.5
1907,-1,1,1,1,-1,1,1,-1,0.5
1908,-1,1,1,-1,-1,1,1,-1,0.5
1909,1,-1,1,1,-1,-1,1,-1,0.5
1910,-1,1,-1,-1,1,1,-1,-1,0.5
1913,-1,1,-1,-1,1,1,-1,1,0.5
1916,1,1,-1,-1,1,1,-1,1,0.5
1917,-1,1,-1,-1,1,1,-1,-1,0.5
1918,-1,1,-1,-1,1,1,1,-1,0.5
1919,1,-1,1,-1,1,1,-1,-1,0.5
1920,1,-1,1,1,1,-1,-1,1,0.5
1922,-1,-1,1,1,-1,-1,1,1,0.5
1927,-1,-1,1,-1,1,1,-1,-1,0.5
1930,-1,1,-1,-1,1,1,-1,-1,0.5
1931,-1,-1,-1,-1,1,1,-1,1,0.5
1932,1,1,-1,-1,1,1,-1,-1,0.5
1933,1,1,-1,-1,1,1,-1,-1,0.5
1934,-1,1,-1,-1,1,1,-1,-1,0.5
1938,-1,1,-1,-1,1,1,-1,-1,0.5
1940,-1,1,-1,-1,1,1,-1,1,0.5
1944,1,1,-1,-1,1,1,-1,-1,0.5
1946,-1,1,-1,-1,-1,1,1,-1,0.5
1951,-1,1,-1,-1,1,1,-1,-1,0.5
1952,-1,-1,1,1,-1,-1,1,1,0.5
1953,-1,1,-1,-1,1,1,-1,-1,0.5
1956,1,1,1,1,-1,-1,1,1,0.5
1957,-1,1,-1,1,-1,-1,1,-1,0.5
1958,1,-1,1,1,-1,1,1,1,0.5
1959,-1,1,-1,-1,1,1,-1,-1,0.5
1961,1,1,-1,-1,1,1,-1,-1,0.5
1968,1,-1,-1,-1,1,-1,-1,1,0.5
1969,1,1,-1,-1,1,1,1,-1,0.5
1970,-1,-1,1,1,-1,-1,1,-1,0.5
1974,-1,-1,1,1,-1,-1,1,-1,0.5
1975,1,1,-1,-1,1,1,-1,-1,0.5
1977,1,-1,1,1,-1,-1,1,-1,0.5
1980,-1,-1,1,-1,1,1,-1,1,0.5
1981,1,1,-1,-1,1,1,-1,-1,0.5
1983,1,1,-1,-1,1,1,-1,-1,0.5
1986,1,-1,-1,1,-1,-1,1,1,0.5
1990,-1,1,-1,-1,1,1,-1,-1,0.5
1992,-1,-1,1,1,-1,-1,1,1,0.5
1993,1,1,1,1,-1,-1,1,1,0.5
1994,1,-1,1,1,-1,-1,1,-1,0.5
1996,1,-1,1,1,-1,-1,1,1,0.5
1999,1,1,-1,-1,1,1,1,-1,0.5
2003,1,-1,1,1,-1,-1,1,1,0.5
2004,1,1,-1,-1,1,1,1,1,0.5
2008,1,1,-1,-1,1,1,-1,-1,0.5
2009,-1,1,-1,-1,1,1,-1,1,0.5
2011,1,1,-1,-1,1,1,-1,-1,0.5
2012,1,-1,-1,-1,1,1,-1,1,0.5
2013,1,1,-1,-1,1,1,-1,1,0.5
2014,1,1,-1,-1,1,1,-1,-1,0.5
2017,-1,-1,1,-1,-1,1,1,1,0.5
2018,-1,-1,1,1,-1,1,1,-1,0.5
2019,1,1,-1,-1,1,1,-1,1,0.5
2021,-1,1,-1,-1,1,1,-1,-1,0.5
2022,-1,-1,1,1,-1,-1,1,-1,0.5
2023,1,-1,-1,1,1,1,-1,1,0.5
2025,1,-1,-1,-1,1,1,-1,1,0.5
2026,-1,1,-1,-1,1,1,-1,1,0.5
2028,-1,-1,1,1,-1,-1,1,-1,0.5
2030,1,-1,1,1,-1,1,1,-1,0.5
2031,-1,1,-1,-1,1,1,-1,-1,0.5
2041,1,1,-1,-1,1,1,-1,-1,0.5
2045,-1,-1,1,1,-1,-1,1,1,0.5
2046,1,-1,1,1,-1,-1,1,-1,0.5
2049,-1,1,-1,-1,1,1,-1,-1,0.5
2054,1,1,-1,-1,1,1,-1,-1,0.5
2057,1,-1,1,1,-1,-1,1,1,0.5
2063,1,1,-1,-1,1,1,-1,1,0.5
2074,1,1,1,1,-1,-1,1,1,0.5
2075,-1,1,-1,-1,1,1,-1,1,0.5
2076,-1,1,-1,-1,-1,1,1,-1,0.5
2077,-1,-1,-1,-1,1,1,-1,1,0.5
2078,-1,-1,1,1,-1,-1,1,-1,0.5
2079,-1,1,1,1,-1,1,1,-1,0.5
2081,1,-1,-1,-1,1,1,-1,1,0.5
2082,1,1,-1,1,-1,-1,1,-1,0.5
2085,1,1,-1,1,1,1,-1,1,0.5
2089,-1,1,-1,-1,1,1,-1,-1,0.5
2090,-1,-1,1,1,-1,-1,1,-1,0.5
2091,-1,-1,1,1,-1,-1,1,1,0.5
2093,1,1,-1,-1,1,1,-1,1,0.5
2094,-1,1,1,1,-1,-1,1,-1,0.5
2095,1,1,-1,-1,1,1,1,1,0.5
2097,1,1,-1,-1,-1,1,1,-1,0.5
2100,-1,-1,1,1,-1,-1,1,1,0.5
2101,-1,-1,1,1,-1,-1,1,1,0.5
2102,-1,-1,-1,-1,1,1,-1,1,0.5
2106,1,1,1,1,-1,1,1,-1,0.5
2108,1,1,-1,-1,1,1,-1,1,0.5
2111,-1,1,1,1,-1,-1,1,-1,0.5
2113,1,-1,1,1,-1,-1,1,1,0.5
2115,1,-1,1,-1,1,1,-1,-1,0.5
2117,1,-1,1,1,-1,-1,1,1,0.5
2118,1,1,-1,-1,1,1,-1,-1,0.5
2119,-1,1,1,1,-1,1,1,-1,0.5
2120,1,1,-1,1,-1,-1,1,-1,0.5
2121,-1,1,1,1,-1,-1,1,-1,0.5
2122,-1,1,-1,-1,1,1,-1,-1,0.5
2123,-1,1,-1,-1,1,1,-1,1,0.5
2125,1,1,-1,1,-1,1,1,-1,0.5
2126,-1,-1,1,1,-1,-1,1,1,0.5
2127,1,-1,1,1,-1,-1,1,1,0.5
2128,-1,-1,-1,-1,1,1,-1,1,0.5
2129,-1,1,-1,-1,1,1,-1,1,0.5
2130,1,1,-1,-1,-1,1,1,-1,0.5
2131,1,1,-1,-1,1,1,-1,-1,0.5
2133,1,1,1,1,-1,-1,1,-1,0.5
2134,-1,1,-1,1,-1,1,1,-1,0.5
2135,1,1,-1,-1,1,1,-1,1,0.5
2139,-1,1,-1,-1,1,1,-1,1,0.5
2140,1,-1,-1,-1,1,1,-1,-1,0.5
2146,1,-1,-1,-1,1,1,-1,1,0.5
2148,1,-1,-1,-1,1,1,-1,1,0.5
2149,1,-1,1,1,-1,-1,1,-1,0.5
2154,1,1,-1,-1,1,1,-1,1,0.5
2156,-1,1,1,1,-1,-1,1,-1,0.5
2157,1,-1,1,1,-1,-1,1,1,0.5
2161,1,1,-1,-1,1,1,-1,1,0.5
2162,-1,-1,1,1,-1,-1,1,1,0.5
2163,-1,1,-1,-1,1,1,1,-1,0.5
2164,1,-1,1,1,-1,-1,1,1,0.5
2165,-1,1,-1,-1,1,1,-1,-1,0.5
2166,1,1,-1,-1,1,1,-1,1,0.5
2167,1,1,-1,-1,1,1,-1,1,0.5
2168,1,1,-1,1,1,1,-1,-1,0.5
2169,-1,1,-1,1,-1,1,1,-1,0.5
2170,-1,-1,-1,1,1,-1,-1,1,0.5
2172,1,-1,-1,1,1,-1,-1,1,0.5
2173,-1,-1,1,1,-1,-1,1,1,0.5
2175,1,-1,1,1,-1,-1,1,1,0.5
2176,-1,1,-1,-1,1,1,-1,-1,0.5
2177,-1,1,-1,1,-1,-1,1,-1,0.5
2178,-1,-1,1,-1,1,1,-1,1,0.5
2179,1,-1,1,-1,1,1,-1,1,0.5
2180,-1,-1,-1,-1,1,1,-1,1,0.5
2181,-1,1,-1,-1,1,1,-1,1,0.5
2185,-1,1,-1,-1,1,1,1,-1,0.5
2186,1,-1,1,1,-1,1,1,1,0.5
2188,1,1,1,1,-1,-1,1,-1,0.5
2189,-1,-1,-1,-1,1,1,-1,1,0.5
2195,1,1,1,1,-1,-1,1,-1,0.5
2197,1,-1,1,1,-1,-1,1,1,0.5
2200,1,1,1,1,-1,-1,1,-1,0.5
2203,-1,1,1,1,-1,1,1,-1,0.5
2205,-1,1,-1,-1,1,1,-1,1,0.5
2206,-1,1,-1,1,-1,1,1,-1,0.5
2207,-1,1,-1,-1,1,1,-1,-1,0.5
2208,1,1,-1,1,1,1,1,-1,0.5
2209,-1,-1,1,-1,-1,1,1,-1,0.5
2210,-1,-1,1,1,-1,-1,1,1,0.5
2213,-1,-1,1,1,-1,-1,1,-1,0.5
2215,-1,1,1,1,1,-1,-1,1,0.5
2217,-1,1,-1,-1,1,1,-1,-1,0.5
2221,1,-1,1,1,-1,1,1,1,0.5
2222,-1,-1,1,1,-1,1,1,-1,0.5
2223,1,-1,1,1,-1,-1,1,1,0.5
2224,1,1,1,1,-1,1,1,-1,0.5
