ParameterIndex,X,SNAIL,miR34,miR200,ZEB,KEAP1,Ecadherin,NRF2,Weight
1008,-1,-1,1,1,-1,-1,1,1,1
1012,-1,1,-1,-1,1,1,-1,-1,1
1017,-1,-1,1,1,-1,-1,1,1,1
1019,-1,1,1,1,-1,-1,1,-1,1
1024,-1,1,-1,-1,1,1,-1,1,1
1025,1,-1,1,1,-1,-1,1,1,1
1026,-1,1,-1,-1,1,1,-1,-1,1
1029,-1,-1,1,1,-1,-1,1,1,1
1030,1,1,-1,-1,1,1,-1,1,1
1034,-1,-1,1,1,-1,-1,1,-1,1
1038,1,-1,1,1,-1,-1,1,-1,1
1040,-1,-1,-1,-1,1,1,-1,1,1
1044,1,1,-1,-1,1,1,-1,1,1
1050,1,1,-1,-1,1,1,-1,-1,1
1051,1,-1,1,1,-1,-1,1,1,1
1055,1,1,-1,-1,1,1,-1,-1,1
1056,1,1,1,1,-1,-1,1,1,1
1058,-1,-1,1,1,-1,-1,1,-1,1
1060,1,-1,1,1,1,-1,-1,1,1
1064,1,1,-1,-1,1,1,1,-1,1
1066,-1,1,-1,-1,1,1,-1,1,1
1068,-1,-1,1,1,-1,-1,1,-1,1
1070,1,-1,1,1,-1,-1,1,1,1
1071,1,-1,1,1,-1,-1,1,-1,1
1074,-1,1,-1,-1,1,1,-1,1,1
1075,-1,-1,1,1,-1,-1,1,-1,1
1082,1,-1,1,1,-1,-1,1,-1,1
1086,1,-1,1,1,-1,-1,1,1,1
1087,1,1,-1,-1,1,1,-1,1,1
1094,1,-1,1,1,-1,-1,1,1,1
1095,-1,-1,1,1,-1,-1,1,-1,1
1099,-1,-1,1,1,-1,-1,1,-1,1
1100,-1,-1,1,1,-1,-1,1,1,1
1101,1,-1,1,1,-1,-1,1,-1,1
1102,-1,1,-1,-1,1,1,-1,-1,1
1104,1,-1,1,1,-1,-1,1,-1,1
1107,1,1,-1,-1,1,1,-1,-1,1
1109,1,-1,1,1,-1,-1,1,-1,1
1112,1,-1,1,1,-1,-1,1,1,1
1117,1,-1,1,1,-1,1,1,1,1
1119,1,1,-1,-1,1,1,1,1,1
1120,-1,1,-1,1,-1,1,1,-1,1
1121,-1,1,-1,-1,1,1,-1,-1,1
1122,1,-1,1,1,-1,-1,1,1,1
1124,-1,1,-1,-1,1,1,-1,1,1
1127,-1,1,-1,-1,1,1,-1,1,1
1131,-1,-1,1,1,-1,-1,1,-1,1
1132,1,-1,1,1,-1,-1,1,-1,1
1134,-1,-1,1,1,-1,-1,1,1,1
1137,-1,1,1,1,-1,1,1,1,1
1139,-1,1,-1,-1,1,1,-1,-1,1
1141,-1,1,-1,-1,1,1,-1,1,1
1142,1,1,-1,-1,1,1,-1,1,1
1151,1,-1,1,1,-1,-1,1,-1,1
1159,-1,-1,1,1,-1,-1,1,-1,1
1164,-1,1,-1,-1,1,1,-1,1,1
1165,1,1,-1,-1,1,1,-1,1,1
1167,-1,-1,1,1,-1,-1,1,1,1
1171,1,-1,1,1,-1,-1,1,1,1
1175,-1,-1,1,1,-1,-1,1,-1,1
1179,-1,1,-1,-1,1,1,-1,-1,1
1181,-1,-1,1,1,-1,-1,1,-1,1
1186,1,-1,1,1,-1,-1,1,1,1
1187,-1,1,-1,-1,1,1,-1,1,1
1188,1,1,-1,-1,1,1,-1,-1,1
1193,-1,-1,1,1,-1,-1,1,1,1
1199,-1,-1,1,1,-1,-1,1,1,1
1202,1,-1,1,1,-1,-1,1,1,1
1206,-1,-1,1,1,-1,-1,1,1,1
1207,1,-1,1,1,-1,-1,1,-1,1
1213,-1,-1,1,1,-1,-1,1,1,1
1219,-1,-1,1,1,-1,-1,1,-1,1
1221,-1,-1,1,1,-1,-1,1,1,1
1226,1,1,-1,1,-1,-1,1,-1,1
1227,1,1,-1,-1,1,1,-1,-1,1
1228,-1,1,-1,-1,1,1,-1,-1,1
1229,1,-1,1,1,-1,-1,1,-1,1
1232,1,1,-1,-1,1,1,-1,-1,1
1236,1,1,-1,-1,1,1,-1,1,1
1239,-1,-1,1,1,-1,-1,1,-1,1
1240,-1,-1,1,1,-1,-1,1,1,1
1241,-1,1,-1,-1,1,1,-1,1,1
1242,-1,1,-1,-1,1,1,-1,1,1
1245,1,1,1,1,-1,-1,1,1,1
1250,-1,-1,1,1,-1,-1,1,-1,1
1253,1,1,-1,-1,1,1,-1,1,1
1255,1,1,-1,1,1,1,-1,-1,1
1260,-1,-1,1,1,-1,-1,1,1,1
1263,-1,1,-1,-1,1,1,-1,1,1
1264,1,-1,1,1,-1,-1,1,-1,1
1266,-1,-1,1,1,-1,-1,1,-1,1
1271,1,-1,1,1,-1,-1,1,-1,1
1272,1,-1,1,1,-1,-1,1,1,1
1273,-1,-1,1,1,-1,-1,1,1,1
1275,1,1,-1,-1,1,1,-1,-1,1
1277,-1,1,-1,-1,1,1,-1,1,1
1279,1,1,-1,-1,1,1,-1,-1,1
1284,1,-1,1,1,-1,-1,1,1,1
1285,1,-1,-1,-1,1,1,-1,-1,1
1287,1,1,-1,-1,1,1,-1,-1,1
1288,1,-1,1,1,-1,-1,1,-1,1
1289,1,1,1,1,-1,-1,1,-1,1
1290,1,-1,1,1,-1,-1,1,1,1
1294,1,-1,1,1,-1,-1,1,1,1
1297,1,-1,-1,1,1,-1,-1,1,1
1299,1,1,-1,-1,1,1,-1,1,1
1312,1,-1,1,1,-1,-1,1,-1,1
1314,-1,1,1,1,-1,-1,1,-1,1
1315,-1,1,-1,-1,1,1,-1,1,1
1317,1,-1,1,1,-1,-1,1,1,1
1320,1,-1,1,1,-1,-1,1,1,1
1322,1,1,-1,-1,1,1,-1,-1,1
1323,-1,1,-1,1,-1,-1,1,-1,1
1325,-1,-1,1,1,-1,-1,1,-1,1
1331,1,1,-1,-1,1,1,-1,1,1
1332,-1,-1,1,1,-1,-1,1,-1,1
1333,1,1,-1,-1,1,1,-1,-1,1
1335,-1,-1,1,1,-1,-1,1,1,1
1336,-1,1,1,1,-1,-1,1,-1,1
1339,1,1,-1,-1,1,1,-1,1,1
1340,-1,-1,1,1,-1,-1,1,1,1
1346,1,1,-1,1,-1,-1,1,-1,1
1352,-1,-1,1,1,-1,-1,1,1,1
1353,1,-1,1,1,-1,1,1,-1,1
1354,-1,1,-1,1,1,1,-1,1,1
1355,1,1,-1,-1,1,1,-1,1,1
1356,-1,-1,1,1,-1,1,1,-1,1
1357,-1,-1,1,1,-1,-1,1,-1,1
1359,1,-1,1,1,-1,-1,1,-1,1
1363,-1,1,-1,-1,1,1,-1,1,1
1367,-1,1,-1,1,-1,-1,1,-1,1
1369,-1,1,1,1,-1,-1,1,-1,1
1370,1,-1,1,1,-1,-1,1,-1,1
1371,-1,1,-1,1,-1,-1,1,-1,1
1373,-1,-1,-1,1,-1,-1,1,-1,1
1374,1,1,-1,-1,1,1,-1,1,1
1375,1,1,-1,-1,1,1,-1,1,1
1381,-1,-1,1,1,-1,-1,1,-1,1
1382,-1,1,-1,-1,1,1,-1,1,1
1385,1,-1,1,1,-1,-1,1,-1,1
1390,1,1,-1,1,-1,-1,1,-1,1
1393,1,-1,1,1,-1,-1,1,1,1
1395,-1,-1,1,-1,-1,1,1,-1,1
1396,1,1,-1,-1,1,1,-1,-1,1
1399,-1,1,-1,-1,1,1,-1,-1,1
1401,-1,1,-1,1,-1,-1,1,-1,1
1402,1,1,-1,-1,1,1,-1,-1,1
1404,1,1,-1,-1,1,1,-1,1,1
1406,-1,1,-1,-1,1,1,-1,1,1
1408,-1,1,-1,1,-1,-1,1,-1,1
1411,1,1,-1,-1,1,1,-1,-1,1
1415,1,1,1,1,-1,-1,1,-1,1
1416,-1,1,1,1,-1,1,1,-1,1
1419,-1,-1,1,1,-1,-1,1,1,1
1420,1,-1,1,1,-1,-1,1,-1,1
1421,1,1,1,1,-1,-1,1,-1,1
1425,1,1,-1,-1,1,1,-1,1,1
1427,-1,-1,1,1,-1,-1,1,1,1
1429,-1,-1,1,-1,1,1,-1,1,1
1430,1,1,-1,-1,1,1,-1,-1,1
1432,-1,-1,1,1,-1,1,1,1,1
1433,-1,-1,1,1,-1,-1,1,1,1
1438,-1,1,1,1,-1,1,1,-1,1
1442,-1,-1,-1,-1,1,1,-1,1,1
1444,-1,1,-1,-1,1,1,-1,1,1
1445,-1,1,-1,-1,1,1,-1,1,1
1446,1,-1,1,1,-1,-1,1,-1,1
1447,1,-1,1,1,-1,1,1,-1,1
1453,-1,-1,1,1,-1,-1,1,-1,1
