name,pos_cycle,Total Negative cycles,Frustration Boolean,plast_2,JSD,no signal FrusB,Frustration RACIPE,no signal FrusR
641208586,6,7,0.252525,0.4902,0.893956827,0.253048276,0.513729633,0.521183101
666900552,9,4,0.201759375,0.6229,0.975977901,0.192134483,0.484338125,0.495317566
675088393,8,5,0.2410625,0.6109,0.869841863,0.224882759,0.479719616,0.480955343
679626322,7,6,0.244168919,0.436,0.943664991,0.241342032,0.532708822,0.518735305
705958593,6,7,0.228528125,0.3151,0.942293685,0.229596552,0.546266271,0.538969428
715470848,9,4,0.1942,0.4226,0.944575537,0.186596552,0.499060502,0.498910156
715665552,6,7,0.238223631,0.2807,0.953990935,0.258261857,0.489307402,0.501835569
813959961,6,7,0.265216049,0.3839,0.974562785,0.275862069,0.489346943,0.486393305
839913579,7,6,0.23361875,0.4553,0.772725362,0.229086207,0.486089304,0.483570155
8564132,4,9,0.299603175,0.2646,0.973890843,0.310344828,0.526829857,0.530958712
890700048,6,7,0.235827744,0.3559,0.959382572,0.248459616,0.539327387,0.530735826
903884808,9,4,0.194646875,0.6487,0.980671354,0.18162069,0.499632992,0.515305272
98831520,6,7,0.256290205,0.2992,0.975386105,0.267311146,0.510189638,0.501085345
1074381420,6,7,0.186034375,0.4855,0.933489045,0.195475862,0.464680646,0.472682228
1077976268,8,5,0.188790625,0.4959,0.982201627,0.193558621,0.461390032,0.462228418
1087441,7,6,0.237944192,0.4055,0.972201745,0.243177354,0.484253703,0.491585519
1112583425,7,6,0.258559375,0.3107,0.955924395,0.257317241,0.520176255,0.516185471
1120141930,7,6,0.2331875,0.4143,0.979528811,0.228972414,0.474726879,0.483252058
1123043333,8,5,0.203090625,0.5634,0.972149178,0.196975862,0.502433998,0.500660614
1124942224,6,7,0.194977427,0.387,0.968997174,0.215147505,0.508532588,0.510329937
1132480084,7,6,0.241921407,0.5014,0.9683455,0.24137931,0.526926255,0.516022135
1143015595,6,7,0.303004224,0.3528,0.952770299,0.314103536,0.455354575,0.458559122
1166067210,9,4,0.1945375,0.6392,0.979954681,0.190375862,0.504380568,0.506459974
1168834600,6,7,0.194640093,0.3537,0.940949934,0.206896552,0.481372488,0.480721995
1219070992,5,8,0.25,0.2865,0.823813449,0.24137931,0.513029528,0.523285339
1224851660,7,6,0.2271625,0.5135,0.925304191,0.22567931,0.549942516,0.55492501
1225788741,6,7,0.239369519,0.3543,0.883925387,0.24137931,0.531863238,0.536993106
