name,pos_cycle,plast,plast_2,JSD
32510,5,0.0361,0.1323,0.407201593481233
32575,6,0.4804,0.5932,0.389812096798662
32607,5,0.2291,0.3481,0.560448172534335
32623,6,0.4436,0.6374,0.197047316395635
32631,6,0.4664,0.6155,0.0894308659454416
32635,6,0.4699,0.6151,0.159462810736479
32637,5,0.2125,0.3612,0.140252265006897
32638,6,0.462,0.635,0.0970821941645648
32671,4,0.0562,0.1183,0.450886281966305
32687,5,0.1448,0.2407,0.437630470946318
32695,5,0.1522,0.2352,0.369194962363548
32699,5,0.1569,0.2496,0.383227021373403
32701,4,0.049,0.1086,0.381941665451307
32702,5,0.1478,0.2425,0.377238770748879
32719,4,0.0454,0.1056,0.478314004977815
32727,4,0.0494,0.115,0.453069217082741
32731,4,0.0491,0.1152,0.445119893480513
32733,5,0.1741,0.3022,0.564843036811284
32734,4,0.0496,0.1148,0.442336197405384
32743,5,0.153,0.252,0.222936749630489
32747,5,0.1398,0.2483,0.198808944510331
32749,4,0.047,0.1147,0.314020489621282
32750,5,0.1454,0.2585,0.250917985501984
32755,5,0.1501,0.2613,0.29781966485217
32757,4,0.0481,0.0981,0.295877434807368
32758,5,0.1476,0.2486,0.162682640974022
32761,4,0.0521,0.1109,0.301656841592643
32762,5,0.143,0.2442,0.228353397168857
32764,4,0.0448,0.1021,0.279529964655536
36863,7,0.2813,0.3908,0.1908878985993
38911,5,0.1703,0.3302,0.204682032892925
39935,6,0.1702,0.3598,0.472231243414633
40447,5,0.0659,0.2672,0.404282983440381
40703,6,0.0904,0.2835,0.47050167830187
40831,7,0.4716,0.6491,0.14378095820631
40895,6,0.1701,0.3993,0.42438007409895
40927,5,0.0916,0.2566,0.500756024680636
40943,6,0.1699,0.3764,0.300525557584047
40951,6,0.1741,0.3483,0.250235390305607
40955,6,0.1784,0.3659,0.328575663956331
40957,5,0.0848,0.2556,0.371339860581067
40958,6,0.1725,0.3669,0.26307454585137
43007,5,0.1576,0.2487,0.148087104344224
44031,4,0.1446,0.2402,0.454726800615221
44543,5,0.0423,0.1225,0.291883072177366
44799,4,0.0468,0.1344,0.311470041236118
44927,7,0.5179,0.6082,0.0504799541513668
44991,4,0.1087,0.2047,0.406061311325199
45023,7,0.1243,0.1836,0.519920939047656
45039,4,0.1388,0.2402,0.186913313720288
45047,6,0.2153,0.2951,0.133973323058056
45051,8,0.2763,0.3481,0.226475870081174
