name,Total Positive cycles,Total Negative cycles,Frustration Boolean
2.83E+29,2896,2900,0.318439644
1.36E+29,2897,2899,0.31626837
1.12E+30,2936,2860,0.31593455
8.31E+28,2970,2826,0.358696981
1.80E+30,2946,2850,0.308851876
4.06E+28,2883,2913,0.321763784
9.69E+29,2997,2799,0.320338173
1.43E+30,2882,2914,0.336201341
1.19E+30,2928,2868,0.315804277
1.22E+29,2899,2897,0.311629869
3.97E+29,2900,2896,0.338252883
1.61E+30,2996,2800,0.30675158
3.20E+29,2921,2875,0.344439841
7.98E+28,2924,2872,0.308910891
1.61E+29,2837,2959,0.313545507
5.81E+29,2948,2848,0.326998073
1.36E+30,2943,2853,0.340455586
2.25E+30,2920,2876,0.327255655
1.29E+29,2945,2851,0.314602271
9.18E+28,2992,2804,0.339716847
5.30E+29,2878,2918,0.337987863
6.76E+29,2938,2858,0.324056014
1.04E+30,2898,2898,0.321160825
2.58E+29,2863,2933,0.31160768
6.57E+29,2943,2853,0.316140562
1.27E+29,2894,2902,0.329240207
WT,5378,418,0.108466802
3.80E+29,2907,2889,0.308371394
6.98E+29,2910,2886,0.317018745
2.34E+30,2909,2887,0.326839079
1.55E+30,2894,2902,0.327727501
9.56E+29,2876,2920,0.348134399
2.35E+30,2892,2904,0.321072771
2.20E+30,2912,2884,0.297915216
3.51E+29,2994,2802,0.296226288
3.40E+29,2936,2860,0.312824454
2.53E+29,2880,2916,0.324872977
6.64E+29,2898,2898,0.331251349
1.81E+30,2912,2884,0.287789907
4.12E+27,2990,2806,0.316118114
1.02E+30,2954,2842,0.322315754
1.07E+30,2893,2903,0.303033817
1.75E+30,2864,2932,0.331095227
1.59E+30,2895,2901,0.334180939
4.03E+29,2943,2853,0.298663526
9.71E+29,2925,2871,0.338115751
1.60E+30,2886,2910,0.318250488
1.31E+30,2812,2984,0.322529555
1.83E+30,2873,2923,0.321986395
2.40E+29,2891,2905,0.305824194
3.70E+29,2874,2922,0.337641699
2.34E+30,2919,2877,0.319759082
3.77E+29,2910,2886,0.310992275
6.09E+29,2929,2867,0.327827275
7.09E+29,2944,2852,0.319349034
1.75E+30,2904,2892,0.335410205
1.75E+30,2919,2877,0.346844788
4.12E+28,2904,2892,0.34084721
1.31E+30,2856,2940,0.33534906
8.56E+29,2889,2907,0.319517989
1.21E+29,2890,2906,0.341508708
8.80E+29,2890,2906,0.329374077
2.78E+29,2821,2975,0.345739176
3.69E+29,2906,2890,0.336870443
1.96E+30,2874,2922,0.325348766
9.95E+29,2911,2885,0.326395111
1.95E+30,2885,2911,0.333992762
1.43E+30,2925,2871,0.29765596
6.04E+29,2825,2971,0.318537868
1.33E+30,2888,2908,0.351358078
3.48E+29,2895,2901,0.335277437
1.05E+30,2869,2927,0.300516543
1.14E+30,2892,2904,0.321987945
3.42E+29,2897,2899,0.331112844
1.77E+30,2885,2911,0.30926438
1.14E+30,3000,2796,0.345138113
2.18E+30,2915,2881,0.336251735
9.52E+29,2957,2839,0.308438754
2.22E+30,2876,2920,0.34695388
1.44E+30,2924,2872,0.300015842
4.55E+28,2899,2897,0.313162601
2.12E+30,2901,2895,0.320110134
2.27E+30,2892,2904,0.340273869
7.19E+29,2857,2939,0.33788113
2.07E+30,2899,2897,0.31554663
2.66E+29,2925,2871,0.342276305
1.39E+30,2906,2890,0.315267945
2.45E+30,2893,2903,0.365348254
3.42E+29,2898,2898,0.324870771
2.38E+30,2889,2907,0.332664512
4.36E+29,2879,2917,0.369100325
1.29E+30,2838,2958,0.312619132
1.05E+30,2921,2875,0.323412092
2.11E+30,2877,2919,0.302963776
