Boolean,JSD,heatmap,data
 ,ZEB-ZEB_1-2,ZEB-miR145_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,miR145-ZEB_2-0,Oct4-miR145_2-1,WT,ZEB-miR200_2-1,miR145-Oct4_2-0,miR145-ZEB_2-1,miR200-ZEB_2-1,Oct4-miR200_1-2,ZEB-ZEB_1-0,ZEB-miR145_2-1,Oct4-miR145_2-0,Oct4-miR200_1-0,miR200-ZEB_2-0,SNAIL-miR200_2-0,miR145-Oct4_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
ZEB-miR145_2-1,0.12391175711757418,0.005115447257231263,0.06727904318217448,0.039273654149246745,0.10469658396213623,0.33927377089893,0.03475814226932257,0.35080738101673725,0.19721011529610838,0.10254259916637608,0.09734459982598717,0.26042074942836235,0.12610261815582205,0.0,0.3396937157693191,0.07167416674306926,0.09721504591758715,0.03570890650836566,1.0,0.038903384887211165,0.05722785198767427
Oct4-miR145_2-0,0.4603793138920739,0.2740689506122409,0.16267910897091037,0.19599648208873094,0.5298371080451177,0.0005163548227295721,0.1821855575515679,0.4129926535827362,0.31456911869041004,0.5869081561533283,0.10355797820871425,0.3303312970421389,0.45576078259156294,0.3396937157693191,0.0,0.20212521952457307,0.10629056999537531,0.18589690674658402,1.0,0.1910826999802926,0.1499015890567792
Oct4-miR200_1-0,0.0881389476456164,0.0504524059855969,0.090174575899275,0.07430556727683618,0.12259050944099904,0.19460449945834637,0.03901597871572671,0.4892529562432574,0.1912654950289237,0.1589451592778751,0.03326611014345916,0.09059510078250958,0.08635645470147131,0.07167416674306926,0.20212521952457307,0.0,0.02825719241085685,0.018670616030294622,1.0,0.06794584116291894,0.05321165343945638
miR200-ZEB_2-0,0.19214394286299485,0.060081642732796994,0.03627428750820717,0.039143877801174495,0.23192682915531113,0.10402765386368285,0.02046220918590666,0.352712502851925,0.17549164416609764,0.27071153387273655,0.00034184822003096704,0.16934939884742073,0.1899014186008271,0.09721504591758716,0.10629056999537531,0.02825719241085685,0.0,0.016221284429085176,1.0,0.03475296702673304,0.016020183088482073
SNAIL-miR200_2-0,0.13538049587141038,0.015222181719870144,0.030117335253050825,0.019211034865487375,0.15320209134065566,0.18375629645988223,0.003911921923852391,0.34907933741946207,0.16554473435066017,0.17730837465442273,0.016945006928510562,0.1762000066515736,0.13486940068942743,0.03570890650836566,0.18589690674658402,0.018670616030294625,0.016221284429085176,0.0,1.0,0.016105590061488234,0.011586940927338005
miR145-Oct4_2-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.503450495310332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
SNAIL-miR200_2-1,0.20991807762800702,0.018036291437582903,0.004589101976568073,0.0002166268177151067,0.21365470812185955,0.1940245917984223,0.0044824633769955866,0.2349831065149089,0.16881946883498394,0.2270089830183583,0.031154820545193238,0.27828142878903317,0.2100124145074251,0.038903384887211165,0.1910826999802926,0.06794584116291894,0.03475296702673304,0.016105590061488234,1.0,0.0,0.0041735318349780965
SNAIL-ZEB_1-0,0.20967387473491178,0.029052067964555763,0.005420390698366372,0.005502829779347915,0.2264115319183606,0.1516967413005888,0.003685138940868291,0.257895173425183,0.16597784433988252,0.2488789420084906,0.013349927085879565,0.24516490615483372,0.20914061270707215,0.057227851987674286,0.14990158905677917,0.05321165343945637,0.01602018308848208,0.011586940927338007,1.0,0.004173531834978097,0.0

RACIPE,JSD,heatmap,data
 ,ZEB-ZEB_1-2,ZEB-miR145_2-0,ZEB-miR200_2-0,SNAIL-ZEB_1-2,miR145-ZEB_2-0,Oct4-miR145_2-1,WT,ZEB-miR200_2-1,miR145-Oct4_2-0,miR145-ZEB_2-1,miR200-ZEB_2-1,Oct4-miR200_1-2,ZEB-ZEB_1-0,ZEB-miR145_2-1,Oct4-miR145_2-0,Oct4-miR200_1-0,miR200-ZEB_2-0,SNAIL-miR200_2-0,miR145-Oct4_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0
ZEB-ZEB_1-2,0.0,0.0356611303618423,0.10159964230037775,0.03384594967220631,0.03729435161978803,0.0850402083405247,0.0399684788378314,0.10434463819440468,0.15795853448761843,0.046493521926191786,0.047540598096031755,0.15501724156171093,0.020261039595907596,0.13705386348230825,0.09584873634511068,0.10762629964768822,0.04758775880771052,0.0472193600887059,0.31759757096158936,0.03457079707337042,0.03908169739918489
ZEB-miR145_2-0,0.035661130361842305,0.0,0.08322722515366025,0.07420688968192435,0.04665777646502149,0.10831076295577916,0.07466033642785481,0.15331604338726057,0.15943573568588332,0.0392045841550174,0.11556484816617879,0.21204195488446614,0.052302805656552515,0.05336104450385444,0.15078228384584783,0.14772194734772254,0.10335660671539887,0.07888678131970905,0.2755641939824409,0.07529129111168967,0.07602817730946432
ZEB-miR200_2-0,0.10159964230037773,0.08322722515366024,0.0,0.1359827253569478,0.17263993452451393,0.25042040328519444,0.16549969913857746,0.052880589301646755,0.31405891908496086,0.15571432481092023,0.12216604980758368,0.4195698782258338,0.14536972276035837,0.10659313474386534,0.26833497349319607,0.33649521768157736,0.15618357058929336,0.17405341906908303,0.41268901871107533,0.14033525079343184,0.15053711922535007
SNAIL-ZEB_1-2,0.03384594967220631,0.07420688968192435,0.13598272535694783,0.0,0.026042088666913713,0.053613338152585524,0.004353421506874244,0.10835412190863855,0.12430441889489224,0.07787368889028334,0.018931508984924378,0.12001078566004944,0.007250181665791253,0.22846992684585715,0.035955127452022666,0.073922656473587,0.005148011094412006,0.010469797708173152,0.30912518073478545,0.0011106672422054556,0.003153801942285924
miR145-ZEB_2-0,0.03729435161978803,0.046657776465021485,0.17263993452451393,0.026042088666913717,0.0,0.03618301865222356,0.014903575475635809,0.18236043015705222,0.07989272409795109,0.036083760907761664,0.07574258133401975,0.09581658875837747,0.011213439428089757,0.1759657280411812,0.045109630062483384,0.050672617169139206,0.042805164749095535,0.017606104347320732,0.22321979460467806,0.023176449133912314,0.01972140564647005
Oct4-miR145_2-1,0.0850402083405247,0.10831076295577914,0.2504204032851944,0.05361333815258553,0.036183018652223564,0.0,0.04558707029740282,0.23904523359545204,0.049409714634545694,0.06671859501978902,0.10502077241347454,0.07683868816893827,0.043771736916755274,0.2577422115815395,0.03450876119953572,0.05407230758640246,0.06881373297213533,0.05074673043481442,0.2168921247454733,0.052912569971940854,0.0497093312365837
WT,0.03996847883783141,0.07466033642785481,0.1654996991385774,0.004353421506874243,0.014903575475635807,0.04558707029740282,0.0,0.14563432360186995,0.1120486044705492,0.07358751841352885,0.034042405203187326,0.0923756030267131,0.005154663982031545,0.2342338416307666,0.028114990372367307,0.04979964583533039,0.00893754393083116,0.00465794618537128,0.2955626088777683,0.0033252610439645077,0.0019079476304684688
ZEB-miR200_2-1,0.10434463819440468,0.15331604338726057,0.05288058930164677,0.10835412190863855,0.18236043015705222,0.239045233595452,0.14563432360186995,0.0,0.29680237389055175,0.19120388175306136,0.06814813612615324,0.3891741630107055,0.136702179935267,0.2328163463324088,0.2117346873030965,0.3219865648808614,0.11327689328851476,0.16111899146385422,0.4241083728988193,0.11172533281086877,0.12685099100664549
miR145-Oct4_2-0,0.15795853448761846,0.15943573568588332,0.31405891908496086,0.12430441889489224,0.07989272409795112,0.0494097146345457,0.11204860447054919,0.29680237389055175,0.0,0.09197962012687805,0.19880508009653614,0.151286586309678,0.11561686635118652,0.29009140010257217,0.08396954677522239,0.12272479914600262,0.15253727658811184,0.12239823662057897,0.08573937914800596,0.12176354610403214,0.11746729226989269
miR145-ZEB_2-1,0.046493521926191786,0.039204584155017395,0.15571432481092023,0.07787368889028334,0.03608376090776167,0.06671859501978901,0.07358751841352885,0.19120388175306136,0.09197962012687808,0.0,0.13171736126998979,0.16007194774233313,0.05092488856244782,0.10698286209755736,0.12385473918171153,0.11175749764331827,0.10988557242803516,0.07736759098015253,0.18378302612533065,0.07747719478936921,0.07699738841915889
miR200-ZEB_2-1,0.04754059809603174,0.11556484816617874,0.1221660498075837,0.018931508984924378,0.07574258133401976,0.10502077241347454,0.034042405203187326,0.06814813612615325,0.19880508009653614,0.13171736126998973,0.0,0.17021555823024503,0.03646372770217894,0.2703948896278603,0.07205251080849501,0.12810128208562346,0.011820265425564812,0.04290210948277215,0.40631732329494097,0.02018547068187999,0.026733809614256993
Oct4-miR200_1-2,0.15501724156171093,0.21204195488446612,0.4195698782258339,0.1200107856600494,0.09581658875837745,0.07683868816893827,0.0923756030267131,0.3891741630107055,0.15128658630967803,0.16007194774233313,0.170215558230245,0.0,0.09868497389688718,0.4015434923158956,0.07987606618093504,0.012147666826770216,0.11512237223867722,0.09819870766753128,0.37047744151262507,0.11716299324701057,0.10733528317593588
