"plast","plast_2","JSD","pos_cycle","network","JSD_id"
0.0481,0.0981,0.295877434807368,4,"Randomization/NRF2",-2
0.1476,0.2486,0.162682640974022,5,"Randomization/NRF2",-2
0.0521,0.1109,0.301656841592643,4,"Randomization/NRF2",-2
0.143,0.2442,0.228353397168857,5,"Randomization/NRF2",-2
0.0448,0.1021,0.279529964655536,4,"Randomization/NRF2",-2
0.2813,0.3908,0.1908878985993,7,"Randomization/NRF2",-2
0.1703,0.3302,0.204682032892925,5,"Randomization/NRF2",-2
0.1702,0.3598,0.472231243414633,6,"Randomization/NRF2",-1
0.0659,0.2672,0.404282983440381,5,"Randomization/NRF2",-1
0.0904,0.2835,0.47050167830187,6,"Randomization/NRF2",-1
0.4716,0.6491,0.14378095820631,7,"Randomization/NRF2",-2
0.1701,0.3993,0.42438007409895,6,"Randomization/NRF2",-1
0.0916,0.2566,0.500756024680636,5,"Randomization/NRF2",-1
0.1699,0.3764,0.300525557584047,6,"Randomization/NRF2",-2
0.1741,0.3483,0.250235390305607,6,"Randomization/NRF2",-2
0.1784,0.3659,0.328575663956331,6,"Randomization/NRF2",-2
0.0848,0.2556,0.371339860581067,5,"Randomization/NRF2",-1
0.1725,0.3669,0.26307454585137,6,"Randomization/NRF2",-2
0.1576,0.2487,0.148087104344224,5,"Randomization/NRF2",-2
0.1446,0.2402,0.454726800615221,4,"Randomization/NRF2",-1
0.0423,0.1225,0.291883072177366,5,"Randomization/NRF2",-2
0.0468,0.1344,0.311470041236118,4,"Randomization/NRF2",-2
0.5179,0.6082,0.0504799541513668,7,"Randomization/NRF2",-3
0.1087,0.2047,0.406061311325199,4,"Randomization/NRF2",-1
0.1243,0.1836,0.519920939047656,7,"Randomization/NRF2",-1
0.1388,0.2402,0.186913313720288,4,"Randomization/NRF2",-2
0.2153,0.2951,0.133973323058056,6,"Randomization/NRF2",-3
0.2763,0.3481,0.226475870081174,8,"Randomization/NRF2",-2
0.0749,0.1334,0.228261471685773,5,"Randomization/NRF2",-2
0.2037,0.2854,0.122131701472641,6,"Randomization/NRF2",-3
0.1724,0.2602,0.489714969921655,6,"Randomization/NRF2",-1
0.039,0.1203,0.282215830944716,3,"Randomization/NRF2",-2
0.0325,0.1255,0.336749731780538,4,"Randomization/NRF2",-2
