ParameterIndex,miR200,ZEB,SNAIL,GRHL2
755,-2.39405,2.488391,6.252706,3.848407
756,-2.995772,5.16509,6.037865,0.188972
757,5.291063,-16.238463,4.278206,8.533355
759,8.374602,-7.612774,5.925757,7.408353
762,8.420322,-13.799496,1.644786,6.547207
765,7.0217,-8.671295,4.52916,6.365469
766,5.837675,-17.868846,5.507803,8.286778
767,8.119166,-13.532916,2.747528,4.973842
773,-2.818769,6.21452,7.190297,0.039071
778,6.399914,-12.304521,6.453584,6.960832
779,-3.944238,6.027624,7.46459,2.569518
782,-6.782907,5.480752,8.2386,1.732746
783,0.483052,7.198279,7.12616,-2.046045
784,6.847943,-11.618474,3.17465,8.273918
785,7.134948,-13.012964,6.116454,9.15558
789,0.324131,9.074982,8.69663,0.328558
791,-2.967248,6.254167,7.655521,4.842537
792,1.742779,-11.13839,7.247107,8.566574
796,0.121116,4.059178,7.990981,-3.243105
803,-0.756625,7.313377,7.67814,-2.071983
804,2.100117,4.685348,7.752763,5.795506
807,-5.412514,6.924532,8.39613,0.64323
809,7.60981,-9.97002,2.869811,5.378122
811,8.468214,-10.030223,5.978675,7.860422
814,-3.249897,5.892641,8.180864,5.597489
815,4.986762,-9.348105,4.88865,2.635347
817,4.218626,-9.449967,8.260543,7.12052
818,7.360373,-11.318321,5.116502,6.094741
819,6.924412,-14.410766,4.766984,6.700813
820,-3.657647,6.944933,7.269122,-0.465697
822,-1.79803,5.815613,7.152961,2.247827
824,7.142657,-7.029868,5.300375,4.238886
827,4.046054,-14.745949,7.019552,6.071128
828,-6.634658,6.01124,9.154726,-1.384352
830,7.973953,-13.741951,5.384917,9.618863
833,2.138103,6.253423,7.694637,1.73461
835,4.615596,-11.103071,5.613598,6.3666
838,6.499119,1.604121,6.434871,0.159902
840,-2.230024,3.984341,5.325011,-0.24036
845,-8.309023,7.498476,7.808977,3.56304
846,6.769095,-8.122532,5.021014,6.270898
847,6.91985,-8.091485,6.415689,6.277373
850,6.569856,-13.335824,5.568285,7.678425
851,-3.931007,4.534702,7.698944,1.594325
852,8.417235,-7.33635,5.282288,4.470797
853,-5.081202,6.931963,6.612114,-0.333913
859,-4.710112,5.469659,6.278454,0.781933
860,-0.75321,5.915155,6.24507,1.866661
861,-4.239613,2.908983,9.20773,0.091396
867,-3.934298,5.08757,6.184776,1.1959
868,-5.401802,8.750321,7.498447,-0.389362
869,0.8606,-6.832958,7.323973,6.778491
871,-1.561549,7.32357,7.652898,-1.049785
874,4.252396,-10.241585,1.713622,8.056706
875,-3.980282,3.368412,7.086191,1.55688
881,-0.512361,-0.197294,7.637304,7.860726
882,9.252796,-8.521507,4.685217,4.523404
884,-4.675555,6.876609,8.129498,-3.660872
892,-1.210983,7.868834,8.808558,2.046711
893,-5.952298,5.552459,5.818417,-2.374379
895,4.976498,-11.701222,6.961966,6.555841
897,2.203154,5.286924,6.286236,-1.145457
899,-5.235403,7.384312,6.596561,-0.212363
900,-2.726402,8.253134,7.312264,-2.554584
901,-4.27348,6.70816,6.593238,-0.245607
902,-0.116571,7.633101,8.391827,-2.479275
905,3.166449,-6.974798,6.711871,8.687718
908,-3.282152,6.312218,8.106548,4.710013
910,-1.287869,5.586559,7.449088,-1.540713
911,-4.659588,6.774566,8.589317,-1.302902
914,-6.942549,6.982478,7.950591,0.684546
915,-5.324254,3.781084,7.517245,-0.204798
916,2.547264,-7.763202,5.954429,3.445084
917,2.862882,-9.221611,8.283676,8.74308
918,4.788527,-9.788766,6.641912,7.458365
919,-8.054915,5.551903,4.457887,0.092997
921,-0.923078,4.633365,6.827844,-1.238562
922,4.044802,-11.423463,4.596166,8.7064
924,-5.113642,6.231027,7.647566,1.965182
926,6.274499,-12.585291,4.821876,6.428901
927,5.045058,-13.099538,5.859149,7.098442
929,-1.057845,8.098971,6.766719,-0.055198
931,2.020231,-11.347528,7.583125,6.71655
933,-4.602557,6.70854,8.651045,0.077721
936,-4.254495,4.783673,5.242422,3.108614
939,7.643323,-11.664925,3.788441,4.711162
940,8.27724,-19.031826,3.366768,6.413409
941,-0.827736,5.602058,7.763647,1.925658
942,3.621753,-9.457679,7.797135,8.180888
943,6.13132,-13.489563,5.922874,6.258305
944,7.23988,-9.401465,4.763494,6.054264
950,-4.555525,6.981981,7.32349,0.499626
954,-3.800162,7.73915,9.049781,-1.229859
955,-3.457964,7.362701,8.907338,5.772855
956,6.727656,-11.787248,4.028985,7.653905
959,-8.672025,5.787015,8.226244,0.525152
961,-1.7958,5.947186,6.262267,1.572373
964,6.158147,-13.215114,1.276606,6.425175
965,-4.750298,2.894902,9.527925,4.184895
966,7.412809,-13.247819,6.01591,6.538664
968,-2.117726,7.671298,6.901445,1.029945
969,0.609154,0.010296,6.399585,6.310946
973,1.472085,-8.04667,6.515009,8.174515
974,6.805631,-13.952823,4.493849,6.870616
975,6.298662,-12.535673,0.798807,6.655879
976,4.03322,-10.844616,4.898863,7.098447
977,-6.437162,6.579673,8.018325,-0.199836
982,5.227699,-9.895811,7.206774,8.212638
983,7.307536,-8.255144,7.448376,5.26647
987,6.484612,-16.986062,5.496055,6.010689
988,-2.670188,6.433535,9.136469,0.288705
989,-1.636826,6.144493,8.100403,4.511049
991,2.249404,7.285135,6.145661,1.454995
992,-3.316575,7.675356,8.818559,0.158769
993,-3.733764,6.287006,7.232575,0.660537
995,3.985317,-8.413471,5.50203,9.589809
997,6.344533,-11.188245,3.150368,6.610744
999,-5.163416,6.990811,6.742911,0.76691
1000,-3.056827,6.586032,8.806765,1.348135
1002,-4.059759,9.043213,6.488129,-1.558149
1005,3.802408,-15.556214,3.807993,8.859812
1008,4.855621,-16.956904,5.737411,6.29124
1010,-0.918247,5.842225,7.892452,-0.290935
1012,5.046829,-15.739002,7.129344,8.790791
1014,-1.218447,3.909474,6.488677,1.016382
1020,-1.55466,6.590194,5.498807,-1.397197
1023,-2.271511,6.887631,6.536542,0.871515
1025,-0.911172,6.338999,6.199319,0.545903
1026,8.171729,-11.901551,6.11864,6.804323
1027,7.195637,-12.058655,7.363694,8.524771
1028,-0.793169,6.107333,6.531158,-0.393531
1029,7.357083,-10.930928,3.670501,6.319993
1035,8.458369,-11.818954,5.921798,7.584678
1036,1.817068,8.243206,7.379371,0.106042
1038,1.630914,8.643821,6.83544,1.089074
1041,-5.058606,6.461413,7.834988,1.24064
1048,-0.154161,8.755382,8.379323,-0.84109
1050,7.525872,-10.587624,6.486735,6.824105
1056,-4.688585,5.113532,7.990655,-4.99115
1057,6.01404,-13.545594,4.188982,8.040303
1060,5.55557,-9.846081,6.691236,7.847815
1061,2.158683,-1.337626,4.717885,2.623801
1063,4.310056,-6.638117,5.987953,6.185417
1064,7.545157,-14.338557,4.417666,7.664484
1065,7.177186,-3.709612,6.949111,6.454219
1067,4.475474,-15.344263,4.550352,7.77515
1070,4.989841,-9.820497,6.33579,6.953456
1071,-5.087838,8.786537,8.727557,1.899231
1072,6.734503,-12.356012,5.506627,6.214229
1073,5.734644,6.033857,6.019227,-1.88279
1074,-7.109992,5.222875,7.855358,0.590504
1075,-3.899759,4.626861,6.909992,-3.730189
1076,-3.170866,6.902577,7.984982,-2.937831
1078,-1.834858,4.939533,5.516911,1.596916
1079,4.916219,-7.457044,5.610615,5.597012
1080,-9.077032,5.973792,8.53932,-0.608763
1086,-2.830572,3.559211,7.195587,3.298872
1087,7.117628,-15.742317,5.141449,7.239525
1088,-6.404057,7.51491,7.844611,0.925905
1090,-6.393069,6.59839,9.098676,1.452804
1091,-6.385404,7.609156,9.595743,-0.202607
1092,6.077669,-15.647702,2.630636,6.687558
1093,6.451117,-10.582611,6.038872,5.816014
1094,1.670493,1.686751,5.848708,4.573632
1099,-3.528912,9.308562,7.621479,-1.100557
1100,0.920592,5.387704,5.543975,1.439985
1103,3.216238,-9.485742,3.756842,7.579756
1104,-1.315526,5.073021,6.778339,3.025136
1105,5.036512,-10.60863,5.584763,5.661541
1106,-3.224113,-5.470851,5.79707,7.964936
1108,7.217629,-5.995118,1.884363,5.488356
1110,4.877425,-16.819197,6.630871,6.496692
1111,-7.519651,5.140351,6.905061,0.056991
1112,6.443501,-10.431286,4.127252,5.125096
1113,1.891315,-11.642935,7.655798,6.736037
1115,6.677106,-13.046493,4.764751,7.122407
1116,7.278773,-15.115818,6.472562,6.70203
1118,6.881517,-13.326509,2.471281,8.107413
1119,9.572902,-15.184868,3.936093,9.26223
1120,8.729005,-15.971965,2.408414,6.609199
1121,6.57465,-16.162939,3.87805,8.297879
1122,-1.227381,7.193745,6.908972,-3.027795
1126,-5.147819,6.865032,7.073714,-2.515815
1129,-1.620204,3.243766,6.821128,1.804357
1133,6.622188,-14.071765,5.046424,5.970879
1134,1.399117,-6.454762,9.788035,9.299475
1141,1.149574,3.076281,3.334951,2.50613
1142,-5.373876,4.238999,5.133224,1.057225
1143,-3.402103,7.43466,9.062695,3.630033
1144,-4.89826,8.247008,8.344403,0.795598
1149,-4.3715,6.375581,7.85787,1.195133
1150,8.319446,-12.487764,5.932216,6.137255
1153,-4.923936,5.490716,6.803658,-0.924496
1154,-2.938372,7.026075,8.284153,4.088547
1156,2.142255,-9.774107,6.274615,7.880879
1158,0.434234,5.662775,6.301134,2.003116
1159,6.584753,-9.019566,5.772125,7.701358
1160,-2.066459,4.604092,5.725055,-1.752695
1161,4.361961,-8.657954,4.005385,7.568744
1164,-2.745998,-0.739437,6.088953,6.131927
1165,-2.975864,7.34874,8.18196,-0.414087
1166,-3.52137,5.399707,7.448612,1.134496
1167,4.374424,-9.137608,6.115646,4.273305
1168,7.373408,-8.292166,6.877138,8.148664
1169,-0.640514,8.691598,6.325432,-1.153565
1170,9.141689,-9.018179,4.262693,5.429052
1171,3.934594,-10.613043,4.847709,7.253015
1172,7.524685,-16.281683,4.682061,9.037123
1174,4.180148,-9.948794,5.433519,4.374577
1176,-4.632272,6.479106,7.947946,0.496694
1177,-3.683978,5.770863,8.473304,0.615078
1180,7.445509,-9.711697,6.379125,6.547128
1185,-6.460388,7.931778,7.183737,4.103419
1190,5.114857,-11.451894,6.542176,7.922502
1197,-9.463109,6.006059,8.439045,0.678024
