Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24
171,1,-1.0670389051715,-1.74474339611143,-0.351396392054353,1.31102783467215,0.802714707658032,-0.853486612048627,-0.84165083091737,0.417970861644132,-0.916128553245588,1.06152737582402,1.05722888042782,1.34934984019677,0.0408327052724876,0.0316984798949647,-1.31994120110712,1.40931595269571,-1.27994295604048,-0.573310506264387,-1.28573121448263,-1.33766344877013,-1.10298801681731,-0.727081880368367
187,1,-0.0729870956262286,-1.14802758292019,-1.99881161343341,1.2805985352491,0.851138890543483,-1.19598985638154,-0.921907245650615,0.747331943778957,-1.23824393983672,0.894557182884814,1.17829930156193,0.992619332548369,1.18659987644156,0.431729446014857,-1.0877817442068,1.14556599144978,-1.65593108876758,0.601670346205288,-1.14156916617779,-1.25822584415503,-1.53270712864328,0.310681405156579
211,1,-1.42146943253736,-1.03229645375094,-0.208278682388313,0.804499695493897,1.05137946120587,-1.1405377186942,-1.51740216368936,0.0906980795787984,-0.384501146698554,0.975942873671623,0.909198762707446,1.37709981784025,-0.456873724288025,0.0485453092498711,-1.44087863437581,0.702563514220653,-1.54107565370529,1.10301435470358,-0.98896297895551,-2.10255861853134,-0.273846030765381,-0.972556908912757
221,1,-1.44252899306728,-0.926520080411713,-0.960458753630359,1.12987432074898,0.424775282081504,-1.06322723623199,-0.865192882419833,1.80941427751118,-0.633930339756718,0.961699446001343,0.78915765415448,0.603902112824167,0.748834238239745,1.56514395256189,-1.50875703447664,1.07677974947236,-1.51740257260529,0.278112146495312,-0.736237135285194,-1.80229127530068,-0.888889876434768,-1.42451183732485
254,1,-1.63800927310817,-1.15308537521427,-1.44389826759305,1.02143416825472,1.0628774924405,-0.931486282544861,-1.35463865563961,0.134262714622563,-1.15094395184403,1.03063055075925,1.16915102603716,1.23030718638422,-0.419362440946498,-1.30558136960551,-1.01904013795563,1.18232943812963,-1.46234916247139,-1.00881808259801,-1.00727554746784,-1.08619295451203,-0.923105915669541,-1.29693599683613
281,1,-0.855220617405342,-0.639022830992425,-0.185819153192129,1.20212702313357,0.399662711694777,-1.28544740576844,-0.489450058842866,0.815758251411718,-0.931359295692392,0.832069309494646,1.02878555132718,0.986244701778308,-0.251217608419831,2.37007252781112,-1.68391518052894,1.195124038883,-1.84124467672643,0.139679656842704,-0.601535040161561,-1.01100744011911,-1.92597849410403,0.284813094949183
307,1,-0.874953269074109,-1.00331853390209,-0.34616099835207,0.873678172942566,1.19963188985306,-1.36074696728421,-1.10259966497538,0.860683878767959,-0.868680112738819,0.902728644793515,1.11473957061426,1.18640590189077,0.255387676480943,1.33545402513619,-1.33897324192714,0.262460758865705,-1.5962112959024,-0.777020110183582,-0.977577509392911,-0.364353429160976,-0.480934463634886,-0.870299637364208
331,1,-1.19058909488228,-1.14289508018771,-0.7874213817945,1.01835190552033,0.998890329227707,-1.42279754353225,-1.34775863185763,1.21317868849672,-1.64913589078825,0.936689677609711,0.993856448938352,0.678778573225498,-0.759557692944011,0.49200781498665,-1.08096995714363,0.97020184119579,-1.45769616635506,0.524184514212593,-1.14236437471292,-2.03881554177898,0.1984215859997,-2.46900913597078
360,1,-1.08481582002703,-0.829494036688196,0.327829606075447,1.10000557040198,1.41948320558321,-1.33172321886186,-1.65701937610212,0.574881462412371,-0.719351822478877,1.05980059271232,0.952261719566386,1.40465233436551,-1.02657237725574,2.07935920311368,-1.05279307184546,1.00669557247751,-1.30462404924557,-0.634270262704114,-1.06775180098656,-1.55657243751252,-1.17379331737382,-1.87458266402662
398,1,-1.30150013420148,-1.15267871779805,-0.926013849888313,1.07602817686556,0.979941842659812,-1.09523773290036,-1.3586148056963,0.974001569028878,-1.1683921905864,1.03773489544323,1.06135935340093,1.06549007983304,-3.02827360270737,-1.01581524828852,-1.0687756104224,1.34573326724838,-1.0013011397442,0.982510819922069,-1.0650857135462,-1.87190126198988,-0.315648572956673,-0.51017086213679
