"States","Method","Frequency"
"""1100000""","RACIPE",0.000558333333333333
"""0100111""","RACIPE",0.00103333333333333
"""0100001""","RACIPE",0.000258333333333333
"""1110001""","RACIPE",0.00144166666666667
"""0111000""","RACIPE",0.000681666666666666
"""0001110""","RACIPE",0.002325
"""1111100""","RACIPE",0.000841666666666667
"""0010111""","RACIPE",0.00055
"""0000111""","RACIPE",0.000433333333333333
"""0010010""","RACIPE",2e-04
"""1100100""","RACIPE",0.000825
"""1000111""","RACIPE",8e-04
"""1010011""","RACIPE",0.000423333333333333
"""0000110""","RACIPE",0.00201
"""0011100""","RACIPE",0.002545
"""0011110""","RACIPE",0.000616666666666667
"""0011111""","RACIPE",0.00021
"""0111111""","RACIPE",0.00042
"""1110011""","RACIPE",0.000425
"""1011100""","RACIPE",0.00118
"""1101101""","RACIPE",0.000433333333333333
"""0000011""","RACIPE",0.000711666666666666
"""0110010""","RACIPE",0.000791666666666666
"""1111000""","RACIPE",0.000371666666666667
"""0110011""","RACIPE",0.000438333333333333
"""1000101""","RACIPE",5e-04
"""1010010""","RACIPE",0.00023
"""0011010""","RACIPE",0.000316666666666667
"""1111111""","RACIPE",0.00057
"""0001101""","RACIPE",5e-05
"""0001100""","RACIPE",0.000133333333333333
"""0101101""","RACIPE",0.000153333333333333
"""1001011""","Boolean",0.168
"""0010100""","Boolean",0
"""0010101""","Boolean",0.0646
"""1101010""","Boolean",0.0699
"""1010101""","Boolean",0.0554
"""0110100""","Boolean",0.1595
"""0110101""","Boolean",0.1011
"""0100100""","Boolean",0
"""0110000""","Boolean",0
"""1000011""","Boolean",0
"""1110101""","Boolean",0
"""1001000""","Boolean",0
"""0100110""","Boolean",0.0506
"""1001010""","Boolean",0.1096
"""0001011""","Boolean",0
"""1101011""","Boolean",0
"""1000110""","Boolean",0
"""1101110""","Boolean",0
"""1001001""","Boolean",0
"""0001010""","Boolean",0
"""0101010""","Boolean",0.0544
"""0111101""","Boolean",0
"""0110110""","Boolean",0
"""1100011""","Boolean",0
"""1001110""","Boolean",0
"""0101011""","Boolean",0.0293
"""0010000""","Boolean",0
"""1011110""","Boolean",0
"""1000010""","Boolean",0
"""0100010""","Boolean",0
"""0110001""","Boolean",0
"""1010001""","Boolean",0
"""0011101""","Boolean",0
"""0010011""","Boolean",0
"""0101111""","Boolean",0
"""1101001""","Boolean",0
"""0010001""","Boolean",0
"""1101111""","Boolean",0
"""0101110""","Boolean",0
"""1111110""","Boolean",0
"""1110110""","Boolean",0
"""1011011""","Boolean",0
"""0100011""","Boolean",0
"""1101000""","Boolean",0
"""1011000""","Boolean",0
"""1001111""","Boolean",0
"""0000001""","Boolean",0
"""0110111""","Boolean",0
"""0101000""","Boolean",0
"""1011010""","Boolean",0
"""1100010""","Boolean",0
"""1100110""","Boolean",0.0272
"""1011101""","Boolean",0
"""1111010""","Boolean",0
"""0111110""","Boolean",0
"""1110100""","Boolean",0
"""1101100""","Boolean",0
"""0001111""","Boolean",0
"""1111101""","Boolean",0
"""1100111""","Boolean",0
"""0011001""","Boolean",0.0294
"""0111001""","Boolean",0
"""1011001""","Boolean",0.0547
"""1111011""","Boolean",0
"""1100001""","Boolean",0
"""1100101""","Boolean",0
"""0111010""","Boolean",0
"""0001001""","Boolean",0
"""0000000""","Boolean",0
"""0101100""","Boolean",0
"""0100000""","Boolean",0
"""1001100""","Boolean",0
"""0000010""","Boolean",0
"""0101001""","Boolean",0
"""0011000""","Boolean",0
"""0000100""","Boolean",0
"""1011111""","Boolean",0
"""0011011""","Boolean",0
"""0001000""","Boolean",0
"""1110010""","Boolean",0
"""1110111""","Boolean",0
"""1010110""","Boolean",0
"""1010100""","Boolean",0.0263
"""1000000""","Boolean",0
"""1010111""","Boolean",0
"""0010110""","Boolean",0
"""1001101""","Boolean",0
"""0100101""","Boolean",0
"""1000001""","Boolean",0
"""1010000""","Boolean",0
"""0111100""","Boolean",0
"""1000100""","Boolean",0
"""1111001""","Boolean",0
"""0111011""","Boolean",0
"""0000101""","Boolean",0
"""1110000""","Boolean",0
"""1100000""","Boolean",0
"""0100111""","Boolean",0
"""0100001""","Boolean",0
"""1110001""","Boolean",0
"""0111000""","Boolean",0
"""0001110""","Boolean",0
"""1111100""","Boolean",0
"""0010111""","Boolean",0
"""0000111""","Boolean",0
"""0010010""","Boolean",0
"""1100100""","Boolean",0
"""1000111""","Boolean",0
"""1010011""","Boolean",0
"""0000110""","Boolean",0
"""0011100""","Boolean",0
"""0011110""","Boolean",0
"""0011111""","Boolean",0
"""0111111""","Boolean",0
"""1110011""","Boolean",0
"""1011100""","Boolean",0
"""1101101""","Boolean",0
"""0000011""","Boolean",0
"""0110010""","Boolean",0
"""1111000""","Boolean",0
"""0110011""","Boolean",0
"""1000101""","Boolean",0
"""1010010""","Boolean",0
"""0011010""","Boolean",0
"""1111111""","Boolean",0
"""0001101""","Boolean",0
"""0001100""","Boolean",0
"""0101101""","Boolean",0
