Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10
70,1,-0.419200311752279,0.816033282932447,-0.0753942539279872,0.623292083570144,-0.542191900467276,-0.617119716952713,1.57092456622145,-0.556880063786399
77,1,0.348947274996762,-1.49393151729558,0.939356461909035,0.960504595958611,-1.51939774123969,-0.842303150909875,0.327505035137549,0.96737501155164
79,1,-0.774974661415749,-0.249581129875084,1.02548305468648,1.1577615173477,-0.93647960999362,-1.99384662184,0.77782533037284,-0.469591389199535
81,1,-0.312214263315485,-0.436270783201838,1.44185051969458,1.27797658844978,-1.43717457440502,-1.28757164738261,1.2000820718137,0.898029753918983
84,1,-0.0288939716488085,0.714816296627987,-2.46379380296263,-1.25564502463712,1.21721622360986,0.483262925761227,-0.0943987861937453,0.630149587264037
86,1,-0.214998563862978,1.39859182154571,-0.813661409150977,-1.44147281132281,1.21239759760962,0.693419117317266,-0.355832203584777,-2.07073103911302
89,1,-1.23255641763454,0.172214371858483,-0.699304677909496,-0.652704553887622,1.11658967534284,0.857726540068127,-0.0273865591818823,0.165721303232013
93,1,-0.0447299743084314,1.13249322881488,-1.09584540190075,-1.7270685823126,1.27359060563548,0.718897767186354,-1.41469149083556,-1.22777862069892
98,1,0.647020912602978,1.44519522615743,-0.901096569560294,-2.46565998207229,0.941166893694072,1.49444489520482,-1.44695549849307,-0.218316341892235
102,1,0.0625614388442835,0.806487318806397,-1.68327147076821,-2.79111636502329,1.45747868467022,1.71581547203406,-1.91879399253243,-0.454390793846623
106,1,-0.375036774471591,0.500819529607052,-2.17736917007875,-1.75952546159984,1.03040002912746,1.48438124165918,-2.08127174969118,-0.145001107356627
107,1,0.550081495512495,0.890149455295044,-1.06055812618203,-2.12361403553299,1.32656993736002,0.964835348855078,-1.28686875906394,-0.953767595336798
110,1,-1.92062904774054,-0.68348536167195,1.34743587778802,1.46323524748832,-0.716585553144869,-0.922148625835897,0.51057609702012,0.215024882106937
113,1,0.285451903925488,-1.14988745429566,0.536479754714615,0.676877250250858,-1.89006722551688,-0.63373082406538,1.02757555491704,0.0604151168210043
116,1,-0.457814407139307,0.643861772895207,-0.939588167059514,-1.92854230603385,1.12267462967761,0.952584356807865,-1.32176045229224,-0.048632860521822
