Boolean,JSD,heatmap,data
 ,OVOL-ZEB_2-1,TGFB-SNAIL_1-2,ZEB-ZEB_1-2,ZEB-miR34_2-0,ZEB-OVOL_2-0,ZEB-miR200_2-0,SNAIL-miR34_2-0,SNAIL-ZEB_1-2,miR34-SNAIL_2-0,SNAIL-SNAIL_2-0,WT,OVOL-ZEB_2-0,ZEB-miR200_2-1,miR200-ZEB_2-1,OVOL-OVOL_2-0,ZEB-OVOL_2-1,ZEB-ZEB_1-0,SNAIL-miR34_2-1,Wg-OVOL_2-1,OVOL-OVOL_2-1,miR200-ZEB_2-0,SNAIL-miR200_2-0,SNAIL-SNAIL_2-1,SNAIL-miR200_2-1,SNAIL-ZEB_1-0,miR34-SNAIL_2-1,ZEB-miR34_2-1
SNAIL-SNAIL_2-0,0.023954649899431843,0.025326179938245548,0.049714285861190435,0.09697707217937847,0.023222986306428467,0.05781806644708684,0.6057989825581229,0.06176704229654517,0.08028928637613919,0.0,0.022775665313646817,0.02104278939492575,0.25725257636373633,0.07125101859863177,0.02542705688666673,0.02269811314536611,0.022462908450060624,0.08627302054571981,0.025451504794558544,0.02609468328340898,0.025563458429920603,0.5416900707470343,0.008378481603478935,0.11562023889283513,0.0359771060908997,0.13831484064236682,0.3226923222988197
WT,0.003909048639145507,0.0006479628410065853,0.029576555991712133,0.06616769717055682,0.0006531088621416247,0.040553260251191325,0.5626950400737907,0.023106470182140352,0.02073732928050572,0.02277566531364681,0.0,0.0012139573500406903,0.23523550309131888,0.047731610600447415,0.0005051564435480494,0.002686290998372095,0.0018580085638020768,0.03531559314193215,0.00043564943216273195,0.0008620483579957088,0.003919761871756305,0.5003909776880517,0.05211753219956283,0.06789960191388449,0.004535465890624507,0.060716928090980934,0.2807817351993271
OVOL-ZEB_2-0,0.005128490857887887,0.0015822126093594027,0.03146388480281509,0.07013881938566696,0.0014751461431713225,0.042568396889367255,0.5703415492285125,0.027741764904633745,0.024126817094891867,0.02104278939492575,0.00121395735004069,0.0,0.24286315240078402,0.052616517595431414,0.0017137826560961683,0.0036903641699962972,0.0019030360494441704,0.03853572143624712,0.0015060340035822329,0.0019809260284102694,0.005331973914221801,0.5085024105898257,0.04937123841694175,0.07374413527980068,0.006685411315902331,0.06840297741905074,0.2890193786028986
ZEB-miR200_2-1,0.2131792921365963,0.23917809092044465,0.16724183527461625,0.236086077941692,0.23823506664198846,0.105919900115156,0.4226714563824571,0.19160264057021004,0.22024054833739415,0.25725257636373633,0.2352355030913189,0.2428631524007841,0.0,0.1324891435238013,0.24023689395236258,0.219975161723735,0.23050272498168195,0.24080723196510656,0.23906413908053026,0.23806578835348774,0.20543498688274747,0.38056897302605275,0.290551853903471,0.096755467962133,0.21806389690276434,0.19707967240249585,0.31417831011828057
miR200-ZEB_2-1,0.030444502634192773,0.049633389955024865,0.008083077339566591,0.05043768290927097,0.0450333797615375,0.03194534962982739,0.45697417870987,0.01718962990340315,0.0489676397571531,0.07125101859863175,0.047731610600447394,0.05261651759543144,0.13248914352380128,0.0,0.05048076948667678,0.03502564948015277,0.04082293119915037,0.06196379292702435,0.0481088987982778,0.047725515195437884,0.028031671862330656,0.398391672389731,0.10040698821919851,0.06096894187231721,0.03420389330708137,0.050886517438552215,0.18708647692048772
OVOL-OVOL_2-0,0.0052556325982885165,0.000468257029714746,0.03244114447831801,0.06720059468650935,0.0011533957450339943,0.043132761744436005,0.562780383312484,0.022897382511283405,0.019266223852516903,0.025427056886666737,0.0005051564435480489,0.0017137826560961692,0.2402368939523626,0.05048076948667676,0.0,0.003992820991990581,0.0026606701706510414,0.03438844884581023,0.0006506179272612136,0.0009054104362895346,0.005200292354959713,0.5006105148971598,0.055896612504162606,0.0680001784939114,0.0046752696085125165,0.05906848313844483,0.28178291662820687
ZEB-OVOL_2-1,0.0012100837184375265,0.0037279557307776266,0.0180553692830852,0.062406493888498206,0.0019505930106541742,0.034313136326534044,0.5589832687858578,0.01946221591808536,0.024327047284562073,0.02269811314536611,0.0026862909983720977,0.003690364169996298,0.21997516172373494,0.03502564948015275,0.003992820991990582,0.0,0.001497103018774434,0.039294529837903325,0.0027488923817791553,0.003643871913079733,0.0012228934008669977,0.49539767836708737,0.05002179480719677,0.0682053708054672,0.005393436389406456,0.061043885281462054,0.26867608704635293
ZEB-ZEB_1-0,0.0024691167006928734,0.0026819827220716536,0.02179983332391118,0.06386532968401648,0.001344338216123005,0.03749317391139199,0.5651802494331446,0.020861268282763978,0.023543314059516887,0.022462908450060614,0.0018580085638020762,0.0019030360494441722,0.230502724981682,0.04082293119915037,0.0026606701706510414,0.001497103018774433,0.0,0.03863537158592454,0.0018884040308729483,0.002590631850655303,0.0028558653975265256,0.501875212969444,0.0509955056634845,0.07219226240292903,0.005086034826694339,0.062454714901824575,0.27450829788331543
SNAIL-miR34_2-1,0.03403330605050665,0.03521491251088005,0.05497740910444877,0.035249955648834964,0.03531441010184752,0.07892511646164113,0.4139940124794407,0.02975744950895582,0.019473430548619292,0.08627302054571982,0.03531559314193215,0.03853572143624713,0.2408072319651065,0.06196379292702435,0.03438844884581023,0.03929452983790332,0.03863537158592453,0.0,0.035179017902889666,0.03310091383158573,0.037574310020170185,0.36316307398471903,0.12832659913566669,0.06136095740078139,0.024925297936248626,0.03301758883068822,0.17431086672038126
Wg-OVOL_2-1,0.0042666413156032795,0.0006904995199843716,0.029537888095927917,0.06673880554970732,0.0008075254739299323,0.04246361860388006,0.5667799779262974,0.02231854434931558,0.018994959476277364,0.025451504794558565,0.0004356494321627313,0.001506034003582233,0.2390641390805303,0.04810889879827783,0.000650617927261214,0.0027488923817791553,0.001888404030872949,0.03517901790288968,0.0,0.001028798720796667,0.003930750053609933,0.5040799995754924,0.055497713159411,0.07005847880788715,0.0042636135228494194,0.058266146212315295,0.2812627722378196
