ParameterIndex,miR200,ZEB,SNAIL,GRHL2,Weight
1388,-1,1,-1,-1,1
1392,-1,-1,-1,1,1
1398,1,-1,1,1,1
1399,-1,1,-1,-1,1
1400,1,1,1,-1,1
1401,1,-1,-1,1,1
1403,-1,1,-1,-1,1
1406,-1,1,-1,-1,1
1407,-1,1,-1,1,1
1411,-1,1,1,-1,1
1412,-1,1,1,-1,1
1413,-1,1,1,-1,1
1414,1,-1,1,1,1
1416,-1,1,1,-1,1
1417,-1,1,-1,-1,1
1421,1,-1,1,1,1
1422,-1,1,1,-1,1
1423,-1,1,-1,-1,1
1425,-1,1,-1,-1,1
1426,1,-1,-1,1,1
1427,-1,1,1,-1,1
1428,1,-1,1,1,1
1434,-1,1,-1,-1,1
1437,1,-1,1,1,1
1442,-1,1,1,-1,1
1444,1,-1,1,1,1
1457,1,-1,-1,1,1
1459,-1,1,1,-1,1
1461,-1,1,1,-1,1
1463,-1,1,1,-1,1
1464,1,-1,1,1,1
1467,-1,1,-1,1,1
1470,-1,1,1,-1,1
1473,-1,1,1,-1,1
1474,-1,1,1,-1,1
1477,1,-1,1,1,1
1478,-1,1,-1,-1,1
1479,-1,1,1,1,1
1480,1,-1,1,1,1
1481,-1,-1,1,1,1
1482,-1,1,1,-1,1
1484,-1,1,1,-1,1
1486,-1,1,-1,-1,1
1487,-1,1,-1,-1,1
1489,-1,1,1,-1,1
1491,1,-1,-1,1,1
1493,-1,-1,-1,1,1
1494,-1,1,1,1,1
1495,1,-1,-1,1,1
1497,1,-1,-1,1,1
1498,1,-1,1,1,1
1499,-1,1,1,-1,1
1500,-1,1,-1,-1,1
1501,1,-1,1,1,1
1503,1,-1,-1,1,1
1504,-1,1,1,-1,1
1505,1,-1,-1,1,1
1510,-1,-1,-1,1,1
1511,-1,1,-1,-1,1
1512,1,-1,1,1,1
1513,1,1,1,1,1
1516,1,-1,-1,1,1
1517,-1,-1,-1,1,1
1518,1,-1,1,1,1
1522,-1,1,-1,-1,1
1524,1,-1,1,1,1
1527,1,-1,1,1,1
1528,1,-1,-1,1,1
1531,1,-1,-1,1,1
1532,-1,1,-1,-1,1
1533,1,-1,1,1,1
1535,1,-1,-1,1,1
1536,-1,1,1,-1,1
1537,-1,-1,-1,1,1
1540,1,-1,-1,1,1
1541,-1,1,1,-1,1
1543,1,-1,1,1,1
1545,-1,1,1,-1,1
1549,1,-1,1,1,1
1550,1,-1,-1,1,1
1554,1,-1,-1,1,1
1559,1,-1,-1,1,1
1562,-1,1,-1,-1,1
1563,1,-1,-1,1,1
1566,1,-1,-1,1,1
1570,-1,1,1,-1,1
1571,-1,1,1,-1,1
1572,-1,1,-1,1,1
1574,1,-1,-1,1,1
1575,-1,1,1,-1,1
1577,-1,1,1,-1,1
1578,-1,1,-1,-1,1
1581,-1,1,-1,-1,1
1582,1,-1,-1,1,1
1587,-1,1,1,-1,1
1588,-1,1,-1,-1,1
1593,1,-1,-1,1,1
1594,-1,1,1,-1,1
1595,1,1,1,1,1
1597,-1,1,-1,-1,1
1599,-1,1,1,-1,1
1600,1,-1,1,1,1
1602,1,-1,1,1,1
1604,-1,1,1,-1,1
1605,-1,1,-1,-1,1
1607,1,-1,-1,1,1
1608,1,-1,1,1,1
1609,-1,1,1,1,1
1610,1,-1,1,1,1
1612,-1,1,-1,-1,1
1614,1,-1,-1,1,1
1617,-1,1,-1,-1,1
1618,1,-1,1,1,1
1620,-1,1,1,1,1
1621,-1,1,-1,-1,1
1622,-1,1,-1,-1,1
1623,1,-1,1,1,1
1624,1,-1,1,1,1
1626,-1,1,-1,-1,1
1627,-1,1,-1,-1,1
1630,-1,1,1,-1,1
1631,-1,1,1,-1,1
1633,1,-1,-1,1,1
1635,-1,1,1,-1,1
1641,-1,-1,1,1,1
1643,1,-1,-1,1,1
1648,-1,1,-1,-1,1
1650,1,-1,1,1,1
1654,-1,1,-1,-1,1
1655,1,-1,1,1,1
1656,1,-1,-1,1,1
1658,1,-1,-1,1,1
1659,1,-1,1,1,1
1661,-1,1,-1,-1,1
1662,1,-1,1,1,1
1663,-1,1,-1,-1,1
1666,-1,1,-1,-1,1
1667,-1,1,-1,-1,1
1669,1,-1,-1,1,1
1673,-1,1,1,-1,1
1674,-1,1,1,-1,1
1676,1,-1,1,1,1
1677,1,-1,-1,1,1
1679,-1,1,1,-1,1
1680,-1,1,1,-1,1
1682,1,-1,-1,1,1
1683,1,-1,1,1,1
1684,-1,1,-1,-1,1
1685,-1,1,-1,-1,1
1687,-1,1,1,-1,1
1688,-1,-1,-1,1,1
1694,-1,1,-1,-1,1
1696,1,-1,1,1,1
1697,-1,1,1,-1,1
1699,-1,1,1,-1,1
1700,1,-1,1,1,1
1701,1,-1,-1,1,1
1706,-1,1,-1,-1,1
1708,-1,1,-1,-1,1
1711,1,-1,1,1,1
1714,1,-1,-1,1,1
1715,1,-1,-1,1,1
1717,-1,1,1,-1,1
1718,1,-1,-1,1,1
1722,1,-1,-1,1,1
1724,1,-1,-1,1,1
1725,1,-1,-1,1,1
1727,1,-1,-1,1,1
1730,1,-1,-1,1,1
1731,-1,1,-1,-1,1
1734,-1,1,1,-1,1
1737,1,-1,-1,1,1
1740,-1,1,-1,-1,1
1741,-1,1,-1,-1,1
1747,1,-1,-1,1,1
1750,-1,1,1,-1,1
1751,-1,1,1,-1,1
1762,-1,1,1,-1,1
1764,1,-1,1,1,1
1767,-1,1,-1,-1,1
1770,1,1,1,-1,1
1771,1,-1,1,1,1
1772,-1,1,1,-1,1
1774,1,-1,1,1,1
1776,-1,1,-1,-1,1
1777,-1,1,1,-1,1
1778,-1,1,1,-1,1
1779,1,-1,1,1,1
1780,-1,1,-1,-1,1
1782,-1,1,1,-1,1
1783,1,1,-1,1,1
1786,-1,1,1,-1,1
1787,-1,1,1,-1,1
1790,1,-1,-1,1,1
1795,-1,1,1,-1,1
1799,-1,1,1,-1,1
1800,1,-1,-1,1,1
1803,-1,1,-1,-1,1
1805,1,-1,1,1,1
1807,-1,1,1,-1,1
1811,1,-1,-1,1,1
1820,1,-1,1,1,1
1823,-1,1,1,-1,1
1828,-1,1,1,-1,1
1830,1,-1,1,1,1
1831,-1,1,1,-1,1
1835,-1,1,-1,-1,1
1838,-1,1,-1,-1,1
1844,-1,1,1,-1,1
1848,-1,1,-1,-1,1
1850,1,-1,1,1,1
1856,-1,1,-1,-1,1
1860,-1,1,1,-1,1
1861,1,-1,-1,1,1
1865,1,-1,1,1,1
1867,-1,1,-1,-1,1
1869,-1,1,-1,-1,1
1870,-1,1,1,-1,1
1873,1,-1,1,1,1
1881,-1,1,1,-1,1
1883,-1,1,-1,-1,1
1884,1,-1,-1,1,1
1886,1,-1,-1,1,1
1887,1,-1,1,1,1
1891,1,-1,-1,1,1
1894,-1,1,1,-1,1
