d_m_1,d_m_2,d_m_3,d_m_4,d_m_5,d_m_6,d_m_7,d_m_8,d_m_9,d_m_10
44,2,0.979140770130158,0.270016546966569,-0.310511652884996,-0.396985900866505,1.1464957008294,-1.04961778847585,-0.310511652884996,0.900403164733865
47,2,0.0225779509650685,-0.338473595492009,-3.58337288996252,0.517115907987559,-0.512989829916848,0.401934258987434,-3.58337288996252,-0.776615656946626
50,2,-0.512555148330339,1.26361653399843,-1.27077357402634,-0.473804462800043,1.07826984293622,-0.473817524587312,-1.27077357402634,0.80152722543331
52,2,1.11025736791677,-1.5053289148261,0.577922940524009,1.00306602346932,-0.278318218810871,1.00332590923146,0.577922940524009,-0.847334491351612
54,2,-0.923496316504214,0.89434401604127,-0.739784395066888,-0.529167286813337,0.735235262180101,-0.440010547789191,-0.739784395066888,1.43494560869177
55,2,0.842846295682911,-0.257482895936422,1.46906349267241,0.178686459101048,-0.812007419271092,1.14313553618906,1.46906349267241,-0.837614194854289
56,2,-1.23464013618077,0.60212607710386,-2.16438814559362,-0.824124971287472,-0.0313339052817028,-0.680075361260447,-2.16438814559362,0.975251720483088
57,2,-1.88555199898682,0.532355813996679,0.7740593896211,-0.588827129603603,-0.81400493865443,-0.404524554836446,0.7740593896211,0.105897240052107
58,2,-1.00139276874259,0.814511379473872,0.7812108520038,-1.27751143062658,0.489940033099843,-0.44006094522433,0.7812108520038,0.431409748853962
59,2,-0.637116243813747,0.725019683679869,0.548298904987954,-1.16160050915187,0.837648511865565,-0.764262255372338,0.548298904987954,-0.324779697587863
60,2,-0.723342203206939,0.737410445593999,-0.0535629228934772,-1.59563823125658,0.683505633492268,-0.138235826772957,-0.0535629228934772,0.38774953808811
61,2,-1.68159914660745,0.737239175166027,0.00718101873686854,-0.556337652511315,-0.50067914340826,-0.196602120526226,0.00718101873686854,1.11806375348574
63,2,-0.756372712005792,-0.827060558862815,1.16240243498278,0.895406968950283,-2.2611519162469,0.805202541995731,1.16240243498278,-1.07979553675629
65,2,0.772229815058591,-1.4424861430105,1.12795944588557,1.36336471902491,-0.511909803667701,0.496567166928099,1.12795944588557,-0.561117939910011
66,2,1.28754571782772,-0.984703735977042,0.373880535956933,0.882774118845739,-0.0512866720651079,0.758347345834169,0.373880535956933,-0.330046094508085
67,2,-0.251361660714172,0.0312159814537956,-0.285355210451337,1.70695134801707,-0.251187788079568,-0.684732272920774,-0.285355210451337,1.70824016956018
68,2,0.698034834022667,-0.966516864764446,0.699358361319346,0.590476463552059,-0.159779920196537,0.911043219649768,0.699358361319346,-0.697545524092928
70,2,1.74468534899443,-0.657533558740856,0.239121719848037,1.1874719861158,0.664429285582995,0.489654767916559,0.239121719848037,-0.442953869237472
72,2,0.720639284478441,-0.817354066756079,-1.25503828589761,0.873684186448733,-0.838980608663275,0.84131041773769,-1.25503828589761,-0.71581850726931
73,2,-0.341698573963775,-0.626758513201086,0.729716181074785,1.45033602553661,-1.39841379458583,1.08099091707789,0.729716181074785,-0.266964861390663
76,2,1.29108163204331,-0.839780386382852,-0.123427740244152,0.814379771789142,0.0223788793979136,0.632359552344637,-0.123427740244152,-0.735045717123337
77,2,0.7595980941493,-1.3597122636175,0.124828787592642,0.86122305295439,-0.898025991449387,0.663945538431641,0.124828787592642,-1.0695831332823
