"","States","Method","Frequency"
"156","""00111101""","RACIPE",0.000691666666666666
"157","""11011101""","RACIPE",8.33333333333333e-05
"158","""11100011""","RACIPE",0.000266666666666667
"159","""11101100""","RACIPE",0.000183333333333333
"160","""01110110""","RACIPE",0.000316666666666667
"161","""01100011""","RACIPE",0.00055
"162","""00111111""","RACIPE",0.000316666666666667
"163","""10001011""","RACIPE",2e-04
"164","""10110011""","RACIPE",1e-04
"165","""10011111""","RACIPE",0.000816666666666667
"166","""11010010""","RACIPE",0.000216666666666667
"167","""01010010""","RACIPE",0.000166666666666667
"168","""10000010""","RACIPE",0.000183333333333333
"169","""01001110""","RACIPE",0.000225
"170","""00110101""","RACIPE",0.000266666666666667
"171","""00001100""","RACIPE",0.000116666666666667
"172","""10110000""","RACIPE",0.000233333333333333
"173","""00011001""","RACIPE",0.000166666666666667
"174","""11001000""","RACIPE",0.00015
"175","""11010011""","RACIPE",0.00025
"176","""00101111""","RACIPE",0.000616666666666667
"177","""00011010""","RACIPE",0.000133333333333333
"178","""10101000""","RACIPE",2e-04
"179","""01100010""","RACIPE",0.000133333333333333
"180","""00101101""","RACIPE",2e-04
"181","""11101010""","RACIPE",2e-04
"182","""01101011""","RACIPE",2e-04
"183","""11000010""","RACIPE",0.000175
"184","""00110011""","RACIPE",1e-04
"185","""00001011""","RACIPE",0.000216666666666667
"186","""01110001""","RACIPE",0.00035
"187","""10111111""","RACIPE",0.000266666666666667
"188","""11011001""","RACIPE",0.000283333333333333
"189","""01111011""","RACIPE",4e-04
"190","""10111110""","RACIPE",0.000266666666666667
"191","""01010100""","RACIPE",0.00015
"192","""01000000""","RACIPE",5e-05
"193","""10010010""","RACIPE",5e-05
"194","""00101001""","RACIPE",0.000183333333333333
"195","""11101011""","RACIPE",0.000116666666666667
"196","""01011011""","RACIPE",0.000116666666666667
"197","""10000000""","RACIPE",5e-05
"198","""11000100""","RACIPE",0.00015
"199","""11011100""","RACIPE",0.000391666666666667
"200","""11001101""","RACIPE",0.000183333333333333
"201","""11110010""","RACIPE",0.000233333333333333
"202","""01001000""","RACIPE",5e-05
"203","""11011110""","RACIPE",0.000566666666666667
"204","""01010101""","RACIPE",0.000183333333333333
"205","""00100110""","RACIPE",1e-04
"206","""00001010""","RACIPE",5e-05
"207","""10011110""","RACIPE",5e-05
"208","""11001001""","RACIPE",1e-04
"209","""10101101""","RACIPE",0.000166666666666667
"210","""01110011""","RACIPE",0.000166666666666667
"211","""10010001""","RACIPE",5e-05
"212","""01001100""","RACIPE",5e-05
"213","""10101011""","RACIPE",0.000266666666666667
"214","""10011011""","RACIPE",5e-05
"215","""00010100""","RACIPE",5e-05
"216","""10011001""","RACIPE",5e-05
"217","""00100001""","RACIPE",5e-05
"218","""10110010""","RACIPE",5e-05
"219","""11100101""","RACIPE",1e-04
"220","""11100100""","RACIPE",5e-05
"221","""10111011""","RACIPE",5e-05
"222","""01100001""","RACIPE",5e-05
"223","""11100001""","RACIPE",5e-05
"224","""00001110""","RACIPE",0.000233333333333333
"225","""11110100""","RACIPE",8.33333333333333e-05
"226","""11100000""","RACIPE",5e-05
"227","""10110110""","RACIPE",3.33333333333333e-05
"228","""01010001""","RACIPE",6.66666666666667e-05
"229","""11110001""","RACIPE",3.33333333333333e-05
"230","""11001010""","RACIPE",3.33333333333333e-05
"231","""00101010""","RACIPE",3.33333333333333e-05
"232","""10110001""","RACIPE",3.33333333333333e-05
"233","""01110101""","RACIPE",3.33333333333333e-05
"234","""11010001""","RACIPE",3.33333333333333e-05
"235","""10101001""","RACIPE",3.33333333333333e-05
"236","""10011010""","RACIPE",2.5e-05
"237","""11111010""","Boolean",0
"238","""11011000""","Boolean",0
"239","""11111000""","Boolean",0
"240","""00000111""","Boolean",0
"241","""01111000""","Boolean",0
"242","""00010111""","Boolean",0
"243","""10000111""","Boolean",0
"244","""10100101""","Boolean",0
"245","""10001010""","Boolean",0
"246","""10100111""","Boolean",0
"247","""00001111""","Boolean",0
"248","""01000111""","Boolean",0
"249","""00000011""","Boolean",0
"250","""10010111""","Boolean",0
"251","""00000101""","Boolean",0
"252","""00111000""","Boolean",0
"253","""10001100""","Boolean",0
"254","""01111001""","Boolean",0
"255","""10000011""","Boolean",0
"256","""00100101""","Boolean",0
"257","""11110111""","Boolean",0
"258","""11000111""","Boolean",0
"259","""10000101""","Boolean",0
"260","""10000001""","Boolean",0
"261","""00100111""","Boolean",0
"262","""10111000""","Boolean",0
"263","""10000110""","Boolean",0
"264","""01000110""","Boolean",0
"265","""10001001""","Boolean",0
"266","""00000110""","Boolean",0
"267","""00011110""","Boolean",0
"268","""01111110""","Boolean",0
"269","""11000110""","Boolean",0
"270","""10010110""","Boolean",0
"271","""00010101""","Boolean",0
"272","""01101010""","Boolean",0
"273","""01011000""","Boolean",0
"274","""10001111""","Boolean",0
"275","""01000011""","Boolean",0
"276","""10011000""","Boolean",0
"277","""00000000""","Boolean",0
"278","""01100101""","Boolean",0
"279","""01101000""","Boolean",0
"280","""01000001""","Boolean",0
"281","""01111111""","Boolean",0
"282","""11111011""","Boolean",0
"283","""00000001""","Boolean",0
"284","""11000011""","Boolean",0
"285","""11110000""","Boolean",0
"286","""01011010""","Boolean",0
"287","""11111001""","Boolean",0
"288","""01000101""","Boolean",0
"289","""00000010""","Boolean",0
"290","""01111101""","Boolean",0
"291","""00111100""","Boolean",0
"292","""00111001""","Boolean",0
"293","""11101000""","Boolean",0
