,Cycles,Nature,Edge_count
89,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI2,TWIST2",P,8
90,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI2,TWIST2,SNAI1",P,9
91,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI1,miR-34a,TWIST2",P,9
92,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI1,miR-34a,SNAI2,TWIST2",P,10
93,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI1",P,7
94,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,SNAI1,SNAI2,TWIST2",P,9
95,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,GSC",P,7
96,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,GSC,SNAI1,miR-34a,TWIST2",P,10
97,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,GSC,SNAI1,miR-34a,SNAI2,TWIST2",P,11
98,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,GSC,SNAI1",P,8
99,"TWIST1,ZEB2,miR-200a,ZEB1,miR-200b,TGF-beta,GSC,SNAI1,SNAI2,TWIST2",P,10
100,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI2,miR-101,SNAI1,miR-34a,TWIST2",P,11
101,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI2,miR-101,SNAI1",P,9
102,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI2,TWIST2",P,8
103,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI2,TWIST2,SNAI1",P,9
104,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI1,miR-34a,TWIST2",P,9
105,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI1,miR-34a,SNAI2,TWIST2",P,10
106,"TWIST1,ZEB2,miR-200a,ZEB1,miR-141,TGF-beta,SNAI1",P,7
