"","Network","Pos_loops","Neg_loops","pos_cycle","plast","plast_2","JSD"
"38","miR200_miR34_0_1",10,3,10,0.5568,0.6539,0.0118136287148959
"39","miR200_miR34_0_2",8,5,8,0.4446,0.5715,0.0590973121689843
"40","miR200_NRF2_0_1",10,3,10,0.6063,0.6893,0.0623532578802016
"41","miR200_NRF2_0_2",8,5,8,0.4531,0.5856,0.0626416584086312
"42","miR200_SNAIL_0_1",8,5,8,0.4065,0.5649,0.0231958249204481
"43","miR200_SNAIL_0_2",10,3,10,0.6496,0.7247,0.0199332066179603
"44","miR200_X_0_1",8,5,8,0.4416,0.5883,0.0180057901495914
"45","miR200_X_0_2",10,3,10,0.6246,0.7001,0.0139541471634945
"46","miR200_ZEB_2_0",6,2,6,0.422,0.5554,0.00957337296157666
"47","miR200_ZEB_2_1",7,4,7,0.2665,0.4635,0.079522011650726
"48","miR34_Ecadherin_0_1",10,6,10,0.5103,0.6124,0.021118194472175
"49","miR34_Ecadherin_0_2",11,5,11,0.5086,0.6364,0.158224916405262
"50","miR34_KEAP1_0_1",8,6,8,0.4688,0.5864,0.107461493210087
"51","miR34_KEAP1_0_2",11,3,11,0.5589,0.6605,0.0134629058132475
"52","miR34_miR200_0_1",11,4,11,0.5639,0.6516,0.0128413386266019
"53","miR34_miR200_0_2",9,6,9,0.3886,0.5579,0.0624511954849581
"54","miR34_miR34_0_1",9,3,9,0.5616,0.7031,0.00859721745826393
"55","miR34_miR34_0_2",8,4,8,0.4606,0.571,0.0261906642979935
"56","miR34_NRF2_0_1",11,3,11,0.6053,0.6947,0.0509719191897509
"57","miR34_NRF2_0_2",8,6,8,0.4519,0.5822,0.0569112037348985
"58","miR34_SNAIL_2_0",5,3,5,0.4048,0.5247,0.348566041489376
"59","miR34_SNAIL_2_1",5,6,5,0.3193,0.4758,0.0545194666366154
"60","miR34_X_0_1",8,6,8,0.4358,0.5775,0.0143288167174378
"61","miR34_X_0_2",11,3,11,0.6227,0.715,0.0109022816096582
"62","miR34_ZEB_0_1",9,5,9,0.4074,0.5606,0.0281919260419941
"63","miR34_ZEB_0_2",10,4,10,0.5697,0.6579,0.00610766951052647
"64","NRF2_Ecadherin_0_1",10,4,10,0.4881,0.573,0.0245725115895767
"65","NRF2_Ecadherin_0_2",9,5,9,0.5248,0.7113,0.0949000345573747
"66","NRF2_KEAP1_0_1",8,4,8,0.528,0.6352,0.0193751184770934
"67","NRF2_KEAP1_0_2",9,3,9,0.5364,0.6826,0.0528499282617501
"68","NRF2_miR200_0_1",9,4,9,0.4216,0.5954,0.033886340041237
"69","NRF2_miR200_0_2",9,4,9,0.5285,0.6417,0.0217531645139469
"70","NRF2_miR34_0_1",10,5,10,0.4802,0.5946,0.0273566639112482
"71","NRF2_miR34_0_2",10,5,10,0.5123,0.6122,0.0183344736741905
"72","NRF2_NRF2_0_1",9,3,9,0.5462,0.7105,0.0106661857433627
"73","NRF2_NRF2_0_2",8,4,8,0.5245,0.6239,0.0108289055066019
"74","NRF2_SNAIL_2_0",6,1,6,0.5559,0.6507,0.0099022624033814
"75","NRF2_SNAIL_2_1",8,3,8,0.5541,0.6446,0.0282078867813398
"76","NRF2_X_0_1",10,5,10,0.5357,0.6393,0.0102370115546673
"77","NRF2_X_0_2",10,5,10,0.4703,0.587,0.00764348198651275
"78","NRF2_ZEB_0_1",9,5,9,0.5014,0.6479,0.0131896464874542
"79","NRF2_ZEB_0_2",10,4,10,0.4534,0.5485,0.00949492079018263
"80","SNAIL_Ecadherin_0_1",9,5,9,0.5162,0.6661,0.123500228231043
"81","SNAIL_Ecadherin_0_2",10,4,10,0.4867,0.5828,0.0200856114375387
"82","SNAIL_KEAP1_0_1",9,3,9,0.5322,0.6371,0.0155260126206936
"83","SNAIL_KEAP1_0_2",8,4,8,0.5213,0.6285,0.0569091125602956
"84","SNAIL_miR200_2_0",6,2,6,0.5954,0.6546,0.0291372710312484
"85","SNAIL_miR200_2_1",7,4,7,0.4689,0.6507,0.0986516396161872
"86","SNAIL_miR34_2_0",7,3,7,0.523,0.6102,0.0244545693287547
"87","SNAIL_miR34_2_1",7,4,7,0.5305,0.6193,0.0530795797368474
"88","SNAIL_NRF2_0_1",8,4,8,0.5197,0.6286,0.0260376515400533
"89","SNAIL_NRF2_0_2",9,3,9,0.5467,0.6508,0.0303464799945041
"90","SNAIL_SNAIL_2_0",8,2,8,0.5266,0.6346,0.0216331453740634
"91","SNAIL_SNAIL_2_1",9,2,9,0.6075,0.7054,0.0511501055969282
"92","SNAIL_X_0_1",9,3,9,0.5646,0.6853,0.010434920912903
"93","SNAIL_X_0_2",8,4,8,0.5176,0.6229,0.00749322530360168
"94","SNAIL_ZEB_1_0",6,2,6,0.5588,0.6827,0.706259603572935
"95","SNAIL_ZEB_1_2",7,4,7,0.4693,0.6245,0.0356416751907124
"96","WT",8,3,8,0.5137,0.6204,0
"97","X_Ecadherin_0_1",8,3,8,0.5103,0.6188,0.0375207363519678
"98","X_Ecadherin_0_2",8,3,8,0.5097,0.6097,0.02299008630378
"99","X_KEAP1_0_1",8,3,8,0.5037,0.6095,0.011478801742523
"100","X_KEAP1_0_2",8,3,8,0.5242,0.6294,0.020982563088449
"101","X_miR200_0_1",8,3,8,0.4842,0.6221,0.0125288001952485
"102","X_miR200_0_2",8,3,8,0.4422,0.5816,0.00752335159604173
"103","X_miR34_0_1",8,3,8,0.5155,0.6211,0.013534189611491
"104","X_miR34_0_2",8,3,8,0.4882,0.5938,0.0089514850630641
"105","X_NRF2_0_1",8,3,8,0.5248,0.6336,0.0063582952801412
"106","X_NRF2_0_2",8,3,8,0.4955,0.6044,0.00802994108703522
"107","X_SNAIL_1_0",8,3,8,0.5338,0.6418,0.00380648447172802
"108","X_SNAIL_1_2",8,3,8,0.5059,0.609,0.0030770601454342
"109","X_X_0_1",9,3,9,0.552,0.7276,0.008508321419665
"110","X_X_0_2",8,4,8,0.5146,0.6234,0.00294048408754954
"111","X_ZEB_0_1",8,3,8,0.4664,0.5744,0.00455423346415984
"112","X_ZEB_0_2",8,3,8,0.4962,0.612,0.00433324432149529
"113","ZEB_Ecadherin_2_0",7,1,7,0.4513,0.5245,0.117796772119976
"114","ZEB_Ecadherin_2_1",9,2,9,0.4491,0.5235,0.604883049541211
"115","ZEB_KEAP1_0_1",10,3,10,0.5644,0.6602,0.0283358600252526
"116","ZEB_KEAP1_0_2",8,5,8,0.4331,0.5656,0.188335744623027
"117","ZEB_miR200_2_0",6,3,6,0.262,0.4671,0.0683477616748626
"118","ZEB_miR200_2_1",6,5,6,0.1287,0.4015,0.295161127676884
"119","ZEB_miR34_2_0",6,3,6,0.3807,0.5213,0.0726505644349597
"120","ZEB_miR34_2_1",6,5,6,0.3119,0.4887,0.308487019131341
"121","ZEB_NRF2_0_1",8,5,8,0.4222,0.564,0.0825241133010747
"122","ZEB_NRF2_0_2",10,3,10,0.6323,0.7056,0.0797945833389514
"123","ZEB_SNAIL_0_1",10,3,10,0.7036,0.7562,0.0309317282864565
"124","ZEB_SNAIL_0_2",8,5,8,0.3348,0.5254,0.0455066284292079
"125","ZEB_X_0_1",10,3,10,0.669,0.7379,0.0212930040457438
"126","ZEB_X_0_2",8,5,8,0.3976,0.5647,0.0243341765585528
"127","ZEB_ZEB_1_0",7,3,7,0.3804,0.4735,0.0122034530331067
"128","ZEB_ZEB_1_2",7,4,7,0.2478,0.3565,0.0545492059069421
"129","Ecadherin_Ecadherin_0_1",NA,NA,9,0.5448,0.7396,0.0426891274628312
