"","Network","Pos_loops","Neg_loops","Total.Positive.cycles","RACIPE.JSD1.from.WT","RACIPE.JSD2.from.WT","Boolean.JSD.from.WT","Plasticity1","Plasticity2","JSD_id"
"63","miR-34a_ZEB1_2_0",3006,1,NA,NA,NA,NA,NA,NA,NA
"64","miR-34a_ZEB1_2_1",3006,106,NA,NA,NA,NA,NA,NA,NA
"65","miR-9_CDH1_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"66","miR-9_CDH1_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"67","miR-9_ZEB2_2_0",3111,1,NA,NA,NA,NA,NA,NA,NA
"68","miR-9_ZEB2_2_1",3111,1,NA,NA,NA,NA,NA,NA,NA
"69","SNAI1_CDH1_2_0",3111,1,3111,0.063716154,0.063716154,0.000417727,0.9429,0.9429,"-3"
"70","SNAI1_CDH1_2_1",3111,1,3111,0.063970624,0.063970624,0.000329408,0.9405,0.9405,"-3"
"71","SNAI1_FOXC2_1_0",2912,1,2912,0.071447637,0.071447637,0.02123429,0.9484,0.9484,"-3"
"72","SNAI1_FOXC2_1_2",2912,200,2912,0.12680816,0.12680816,0.063652287,0.9399,0.9399,"-3"
"73","SNAI1_miR-101_2_0",2800,1,NA,NA,NA,NA,NA,NA,NA
"74","SNAI1_miR-101_2_1",2800,312,NA,NA,NA,NA,NA,NA,NA
"75","SNAI1_miR-34a_2_0",2297,1,NA,NA,NA,NA,NA,NA,NA
"76","SNAI1_miR-34a_2_1",2297,815,NA,NA,NA,NA,NA,NA,NA
"77","SNAI1_SNAI1_2_0",3111,0,3111,0.070783296,0.070783296,0.000496511,0.9533,0.9533,"-3"
"78","SNAI1_SNAI1_2_1",3112,0,3112,0.069661849,0.069661849,0.004952553,0.96,0.9601,"-3"
"79","SNAI1_SNAI2_1_0",2697,1,2697,0.065804022,0.065804022,0.030140936,0.934,0.934,"-3"
"80","SNAI1_SNAI2_1_2",2697,415,2697,0.091457084,0.091457084,0.035424617,0.9046,0.9046,"-3"
"81","SNAI1_TWIST1_1_0",2612,1,2612,0.073112913,0.073112913,0.019676629,0.9315,0.9316,"-3"
"82","SNAI1_TWIST1_1_2",2612,500,2612,0.092270804,0.092270804,0.065500544,0.9191,0.9191,"-3"
"83","SNAI1_VIM_1_0",3111,1,3111,0.076956214,0.076956214,0.021567333,0.9438,0.9438,"-3"
"84","SNAI1_VIM_1_2",3111,1,3111,0.077590594,0.077590594,0.044477219,0.9406,0.9406,"-3"
"85","SNAI1_ZEB1_1_0",2912,1,2912,0.073627695,0.073627695,0.015529391,0.9421,0.9423,"-3"
"86","SNAI1_ZEB1_1_2",2912,200,2912,0.079431138,0.079431138,0.018203623,0.9372,0.9372,"-3"
"87","SNAI1_ZEB2_1_0",2860,1,2860,0.073485537,0.073485537,0.007942717,0.947,0.947,"-3"
"88","SNAI1_ZEB2_1_2",2860,252,2860,0.077467753,0.077467753,0.010943743,0.9419,0.9419,"-3"
"89","SNAI2_CDH1_2_0",3111,1,3111,0.063226371,0.063226371,0.000422124,0.9468,0.9468,"-3"
"90","SNAI2_CDH1_2_1",3111,1,3111,0.07551892,0.07551892,0.0004379,0.9427,0.9427,"-3"
"91","SNAI2_miR-101_2_0",2185,1,NA,NA,NA,NA,NA,NA,NA
"92","SNAI2_miR-101_2_1",2185,927,NA,NA,NA,NA,NA,NA,NA
