Boolean,JSD,heatmap,data
 ,GRHL2-GRHL2_0-1,WT,ZEB-miR200_2-1,GRHL2-GRHL2_0-2,miR200-miR200_0-1,miR200-ZEB_2-0,miR200-ZEB_2-1,SNAIL-SNAIL_0-1,ZEB-miR200_2-0,ZEB-ZEB_1-0,ZEB-ZEB_1-2,ZEB-GRHL2_2-0,ZEB-GRHL2_2-1,SNAIL-GRHL2_0-1,SNAIL-GRHL2_0-2,GRHL2-ZEB_2-0,GRHL2-ZEB_2-1,SNAIL-ZEB_1-2,GRHL2-miR200_0-1,GRHL2-SNAIL_0-2,GRHL2-miR200_0-2,GRHL2-SNAIL_0-1,SNAIL-ZEB_0-1,miR200-GRHL2_0-1,SNAIL-ZEB_0-2,SNAIL-ZEB_1-0,miR200-GRHL2_0-2,miR200-miR200_0-2,miR200-SNAIL_0-1,miR200-SNAIL_0-2,SNAIL-miR200_2-0,SNAIL-miR200_2-1
SNAIL-GRHL2_0-2,0.06750067757982188,0.06552523681584668,0.2590510065925993,0.06528556428009942,0.06599476194653835,0.06658487334724925,0.07513125564683994,0.06545912428224009,0.12052937867353891,0.13747047219151864,0.1374421647126025,0.06857372544820031,0.7229949459850681,0.029912256893984808,0.0,0.13743860621366638,0.1374924534813906,0.07525771614458203,0.13744293855312195,0.1374686824277908,0.14506156983802843,0.07954324541574302,0.06591568808957482,0.06435913744418212,0.07635742975848438,0.0653122618743674,0.05556998910797938,0.13750463339204988,0.13745463502395672,0.08351386160553483,0.13744110708617824,0.0743062915013586
GRHL2-ZEB_2-0,0.3136809249492964,0.1005299342414122,0.45175422872225923,0.09903205015832556,0.10331207890295366,0.10641067456562878,0.13787988681569585,0.10018323458358026,0.2378746418512871,6.105669241608744e-05,1.6619913351118313e-05,0.31416521722564583,1.0,0.2627201180210116,0.13743860621366638,0.0,4.2776235868183504e-05,0.13841683524718518,1.4139031914892856e-06,2.103695969510864e-05,0.2807028932201891,0.15044741491255925,0.10278742127062851,0.06328722594685099,0.14167474063630894,0.09914200045158737,0.31589352018840977,5.441837967045402e-05,3.739512814350055e-05,0.1609415768583542,1.4607343746673518e-05,0.1356101738589822
GRHL2-ZEB_2-1,0.31375819325460536,0.10058991030493367,0.4518254596472785,0.09903584614362584,0.10336937600682666,0.1064966813152699,0.13805874276057578,0.1002444634135173,0.23800544322653938,0.00020603669483748328,0.00011272088200376014,0.31424988299920836,1.0,0.2627646743690578,0.1374924534813906,4.2776235868183504e-05,0.0,0.1384350328309522,2.8636328515269094e-05,3.81721009870301e-06,0.28075095497533326,0.15048154427900814,0.10283309273569896,0.06339625123180335,0.1416715334342416,0.0991616941278017,0.3159394374932193,6.998008669045872e-07,0.0001601574937022815,0.16102587636966464,0.00010737560584098051,0.13566924179914847
SNAIL-ZEB_1-2,0.21959669370668253,0.004303245395486072,0.12514413733725666,0.004694297216687914,0.003677546815582359,0.0030476467695712516,0.00015627060925521834,0.004460537497538813,0.018956969903810947,0.13849117460345256,0.13844256968037177,0.22211592722360968,1.0,0.13702969578990842,0.07525771614458204,0.13841683524718518,0.1384350328309522,0.0,0.13841469288154468,0.13842192042043322,0.03502544374172503,0.00037912355440777694,0.00376265442050446,0.02050908919106777,3.113040716293161e-05,0.004760185819204024,0.17737150190714865,0.13844264667834705,0.1384661148715631,0.0012361343064168692,0.13844012708783104,4.580015422716113e-05
GRHL2-miR200_0-1,0.31369074769332067,0.10053513188505556,0.4517639440759681,0.09902702383734627,0.10331680811983987,0.10642064420618971,0.1379069498373817,0.10018865767026237,0.2378936599376956,8.105267324033097e-05,2.7728866180830487e-05,0.3141763883209917,1.0,0.26272363138073107,0.13744293855312195,1.4139031914892856e-06,2.8636328515269094e-05,0.13841469288154468,0.0,1.1543253355412531e-05,0.2807071712898523,0.15044825105025983,0.10279003334199949,0.06330109408238113,0.1416687289195045,0.09913986517257958,0.3158976589803816,3.828916135147076e-05,5.335153947760808e-05,0.1609516061203915,2.511036360908908e-05,0.13561544293184358
GRHL2-SNAIL_0-2,0.31372916120945177,0.10056395787582598,0.4517996255873218,0.09902666167925192,0.10334425006644044,0.10646300854223209,0.13799763368136522,0.10021813349325469,0.23795966306309868,0.00015376820202985236,7.50528224266675e-05,0.31421864601978067,1.0,0.26274490411248075,0.1374686824277908,2.103695969510864e-05,3.81721009870301e-06,0.13842192042043322,1.1543253355412531e-05,0.0,0.28073031699498285,0.1504637881958763,0.10281143464117204,0.06335529901414896,0.14166484630610585,0.09914776173936549,0.3159197930086276,7.785816563368091e-06,0.00011452548685718725,0.1609932346315086,7.070305647225794e-05,0.1356438937349401
GRHL2-miR200_0-2,0.2585348336060903,0.06304299822476178,0.02911501080266287,0.06443805298966462,0.060538858682338326,0.05786227191975426,0.035500924550390785,0.06338182786697913,0.0025675412112869597,0.28072408619939987,0.2807032719552922,0.26183365205625386,1.0,0.16708856010120615,0.14506156983802843,0.2807028932201891,0.2807509549753332,0.03502544374172503,0.2807071712898523,0.28073031699498285,0.0,0.02848717372362126,0.0610072675867698,0.10593349404029226,0.03314462150256964,0.06438471671736748,0.19677592772160374,0.280761427536483,0.28071219798792085,0.02336260932195776,0.28070256574849056,0.036677980002158536
GRHL2-SNAIL_0-1,0.22115664945447883,0.007146443457338569,0.11280291494477587,0.007681919575746208,0.006363270505026197,0.005520138237188884,0.0005324282693936165,0.007390355718485037,0.014202282932168124,0.1505012752250734,0.15046266096752525,0.22375962668083166,1.0,0.13740577665261114,0.07954324541574302,0.15044741491255925,0.15048154427900814,0.00037912355440777694,0.15044825105025986,0.1504637881958763,0.028487173723621258,0.0,0.006450632220692067,0.02615838887998465,0.00023155329248656558,0.007792952085488431,0.17666466096770453,0.15049111629503759,0.15048080136166647,0.000319139806174681,0.15046088644262837,0.000624784865924809
SNAIL-ZEB_0-1,0.21826040612060654,1.9088507919386133e-05,0.16920838035226904,7.001902869851876e-05,1.5995397164776963e-05,7.139450922795425e-05,0.003745064130455212,6.931717458744319e-05,0.03916580196736348,0.10283317707608042,0.10279766667884571,0.22046481314410182,1.0,0.14017341054370985,0.06591568808957482,0.10278742127062851,0.10283309273569895,0.00376265442050446,0.10279003334199949,0.10281143464117204,0.06100726758676981,0.006450632220692067,0.0,0.00680593917712722,0.004429299314910979,0.00012987791646673847,0.18351150151322188,0.10284445372777631,0.10281393856664006,0.00919849517876101,0.10279615533218353,0.0032298127096304138
miR200-GRHL2_0-1,0.22567835848916176,0.006122437436634218,0.23608680499135432,0.005756429384202672,0.006981508885733567,0.007946689998600211,0.02020313021811946,0.006075807914329394,0.07687790951667381,0.06326191386667374,0.06325976467850694,0.2274144773964793,1.0,0.15464757526854972,0.06435913744418212,0.06328722594685099,0.06339625123180335,0.020509089191067767,0.06330109408238113,0.06335529901414896,0.10593349404029223,0.026158388879984645,0.00680593917712722,0.0,0.022020631617907568,0.005843619014469335,0.20142800737106,0.06341596933811842,0.06325769696426849,0.03138741366134065,0.06326056985281826,0.01923602046947361
